COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB081102	22h04m44s	+53d00m
GRB081101	06h23m18s	-00d05m
GRB081029	23h06m49s	-68d10m
GRB081028	08h07m34s	+02d19m
GRB081025	16h21m12s	+60d28m
GRB081024B	21h31m36s	+21d12m
GRB081024	01h51m36s	+61d21m
GRB081022	15h06m28s	+12d25m
GRB081017	15h20m43s	-32d49m
GRB081016B	00h58m28s	-43d33m
GRB081016	17h02m16s	-23d20m
GRB081012	02h00m52s	-17d38m
GRB081011	14h41m27s	+33d36m
GRB081008	18h39m57s	-57d28m
GRB081007	22h39m54s	-40d08m
GRB081003B	19h00m28s	+16d41m
GRB081003	17h29m30s	+16d34m
GRB081001	18h26m18s	-08d45m
GRB080928	06h20m20s	-55d10m
GRB080922	18h03m23s	-22d29m
GRB080919	17h41m09s	-42d24m
GRB080916C	07h59m31s	-56d35m
GRB080916B	10h54m30s	+69d03m
GRB080916	22h25m12s	-57d01m
GRB080915B	14h12m19s	-11d28m
GRB080915	01h12m01s	-76d01m
GRB080913	04h22m54s	-25d07m
GRB080906	15h11m34s	-80d29m
GRB080905B	20h06m53s	-62d34m
GRB080905	19h10m39s	-18d53m
GRB080903	05h47m11s	+51d20m
GRB080828	13h18m31s	-65d56m
GRB080825B	13h57m08s	-68d57m
GRB080822B	04h13m59s	+25d45m
GRB080810	23h47m07s	+00d19m
GRB080805	20h56m55s	-62d26m
GRB080804	21h54m48s	-53d12m
GRB080802	18h02m54s	-32d20m
GRB080727C	02h10m35s	+64d09m
GRB080727B	18h27m29s	+01d10m
GRB080727	13h53m33s	-18d33m
GRB080726	01h21m35s	+13d55m
GRB080725	08h06m52s	-13d59m
GRB080723B	11h47m10s	-60d14m
GRB080723	18h18m03s	-06d55m
GRB080721	14h57m53s	-11d43m
GRB080714	12h32m26s	-60d17m
GRB080710	00h33m02s	+19d30m
GRB080707	02h10m32s	+33d09m
GRB080703	06h47m28s	-63d13m
GRB080702B	23h42m24s	-05d29m
GRB080702	20h51m25s	+72d18m
GRB080701	03h03m21s	+75d29m
GRB080625	19h53m46s	+56d16m
GRB080623	15h50m38s	-62d02m
GRB080613B	11h35m11s	-07d06m
GRB080613	14h13m01s	+05d09m
GRB080607	12h59m52s	+15d54m
GRB080605	17h28m31s	+04d00m
GRB080604	15h47m53s	+20d33m
GRB080603B	11h46m07s	+68d05m
GRB080603	18h37m31s	+62d44m
GRB080602	01h16m41s	-09d15m
GRB080523	01h22m56s	-64d03m
GRB080520	18h40m46s	-55d00m
GRB080517	06h49m01s	+50d44m
GRB080516	08h02m31s	-26d11m
GRB080515X	00h12m36s	+32d36m
GRB080514B	21h31m17s	+00d44m
GRB080507	15h34m53s	+56d25m
GRB080506	21h57m44s	+39d00m
GRB080503	19h06m28s	+68d47m
GRB080430	11h01m17s	+51d41m
GRB080426	01h46m18s	+69d29m
GRB080414	18h08m30s	-18d52m
GRB080413B	21h44m32s	-19d58m
GRB080413	19h09m10s	-27d41m
GRB080411	02h32m04s	-71d20m
GRB080409	05h37m20s	+05d05m
GRB080408	07h38m43s	+33d18m
GRB080405	10h50m23s	-04d15m
GRB080330	11h17m12s	+30d34m
GRB080328	05h21m55s	+47d31m
GRB080325	18h31m35s	+36d31m
GRB080320	11h51m07s	+57d09m
GRB080319D	06h37m55s	+23d56m
GRB080319C	17h15m54s	+55d25m
GRB080319B	14h31m42s	+36d18m
GRB080319	13h45m25s	+44d05m
GRB080315	10h20m44s	+41d44m
GRB080310	14h40m19s	-00d10m
GRB080307	09h06m32s	+35d10m
GRB080303	07h28m18s	-70d14m
GRB080229B	13h16m53s	-64d53m
GRB080229	15h12m52s	-14d43m
GRB080218BX	11h51m48s	-53d06m
GRB080218	23h43m41s	+12d10m
GRB080212	15h24m26s	-22d45m
GRB080211	02h55m52s	+60d02m
GRB080210	16h45m05s	+13d50m
GRB080207	13h50m03s	+07d31m
GRB080205	06h32m53s	+62d46m
GRB080130	17h26m42s	-53d11m
GRB080129	07h01m07s	-07d50m
GRB080123	22h35m43s	-64d53m
GRB080122	12h45m24s	+27d01m
GRB080121	09h08m56s	+41d50m
GRB080120	15h01m09s	-10d54m
GRB071227	03h52m29s	-55d57m
GRB071129	14h40m22s	-26d42m
GRB071122	18h26m20s	+47d04m
GRB071118	19h59m16s	+70d06m
GRB071117	22h20m38s	-63d26m
GRB071112C	02h36m53s	+28d23m
GRB071112B	17h21m13s	-80d53m
GRB071109	19h19m39s	+02d03m
GRB071104	19h42m24s	+14d39m
GRB071101	03h12m46s	+62d28m
GRB071031	00h25m50s	-58d03m
GRB071028B	23h36m39s	-31d38m
GRB071028	07h59m23s	+21d30m
GRB071025	23h40m20s	+31d45m
GRB071021	22h42m33s	+23d40m
GRB071020	07h58m39s	+32d52m
GRB071018	10h58m42s	+53d50m
GRB071013	18h38m06s	+33d51m
GRB071011	00h33m36s	+61d04m
GRB071010C	22h32m13s	+66d10m
GRB071010B	10h02m07s	+45d44m
GRB071010	19h12m24s	-32d23m
GRB071008	10h06m11s	+44d20m
GRB071006	22h21m07s	-23d09m
GRB071003	20h07m25s	+10d58m
GRB071001	09h59m04s	-59d45m
GRB070925	16h52m45s	-22d01m
GRB070923	12h18m30s	-38d16m
GRB070920B	00h00m35s	-34d49m
GRB070920	06h43m44s	+72d14m
GRB070917	19h35m42s	+02d25m
GRB070913	15h15m20s	-24d20m
GRB070911	01h43m12s	-33d28m
GRB070810B	00h35m46s	+08d50m
GRB070810	12h39m53s	+10d44m
GRB070809	13h35m08s	-22d08m
GRB070808	00h27m04s	+01d10m
GRB070805	16h20m10s	-59d57m
GRB070802	02h27m24s	-55d32m
GRB070731	21h54m17s	-15d45m
GRB070729	03h45m17s	-35d19m
GRB070724B	01h10m31s	+57d40m
GRB070724	01h51m16s	-18d37m
GRB070721B	02h12m31s	-02d11m
GRB070721X	00h12m42s	-28d33m
GRB070714B	03h51m25s	+28d18m
GRB070714X	02h51m44s	+30d14m
GRB070707	17h51m23s	-68d54m
GRB070704	23h38m54s	+66d15m
GRB070628	07h41m08s	-20d17m
GRB070621	21h35m13s	-24d48m
GRB070616	02h08m37s	+56d57m
GRB070615	02h57m12s	-04d24m
GRB070612B	17h26m51s	-08d43m
GRB070612	08h05m32s	+37d16m
GRB070611	00h07m57s	-29d45m
GRB070531	00h26m43s	+74d18m
GRB070529	18h55m00s	+20d38m
GRB070521	16h10m41s	+30d14m
GRB070520B	08h07m48s	+57d37m
GRB070520	12h53m16s	+75d00m
GRB070518	16h56m54s	+55d18m
GRB070517	18h30m19s	-62d20m
GRB070509	15h51m42s	-78d41m
GRB070508	20h51m08s	-78d22m
GRB070506	23h08m52s	+10d44m
GRB070429B	21h52m06s	-38d51m
GRB070429	19h50m45s	-32d23m
GRB070427	01h55m27s	-27d38m
GRB070420	08h05m01s	-45d34m
GRB070419B	21h02m52s	-31d16m
GRB070419	12h10m51s	+39d54m
GRB070412	12h06m01s	+40d06m
GRB070411	07h09m21s	+01d05m
GRB070406	13h15m49s	+16d32m
GRB070402	20h44m44s	+27d24m
GRB070330	17h58m05s	-63d47m
GRB070328	04h20m28s	-34d04m
GRB070318	03h14m10s	-42d58m
GRB070311	05h50m17s	+03d22m
GRB070309	17h34m45s	-37d58m
GRB070306	09h52m20s	+10d28m
GRB070227	08h02m16s	-46d18m
GRB070224	11h55m58s	-13d20m
GRB070223	10h13m49s	+43d07m
GRB070220	02h19m17s	+68d49m
GRB070219	17h20m48s	+69d22m
GRB070209	03h04m57s	-47d22m
GRB070208	13h11m41s	+61d58m
GRB070129	02h28m03s	+11d43m
GRB070126	02h13m50s	-73d31m
GRB070125	07h51m24s	+31d08m
GRB070124	14h45m32s	+54d34m
GRB070110	00h03m38s	-52d58m
GRB070107	10h37m38s	-53d12m
GRB070103	23h30m14s	+26d53m
GRB061222B	07h01m26s	-25d51m
GRB061222	23h52m58s	+46d32m
GRB061218	09h56m53s	-35d09m
GRB061217	10h41m46s	-21d07m
GRB061210	09h38m03s	+15d38m
GRB061202	07h02m34s	-74d40m
GRB061201	22h07m53s	-74d36m
GRB061126	05h46m30s	+64d11m
GRB061122	20h15m21s	+15d31m
GRB061121	09h49m00s	-13d11m
GRB061110B	21h35m36s	+06d53m
GRB061110	22h25m13s	-02d16m
GRB061102	09h53m37s	-17d04m
GRB061028	06h28m51s	+46d16m
GRB061027	18h03m15s	-82d14m
GRB061025	20h03m39s	-48d15m
GRB061021	09h40m32s	-21d56m
GRB061019	06h06m28s	+29d34m
GRB061007	03h05m16s	-50d29m
GRB061006	07h24m22s	-79d12m
GRB061004	06h31m00s	-45d54m
GRB061002	14h41m23s	+48d44m
GRB060930	20h17m58s	-23d38m
