Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI,Release_date,DoC_file,reqmode
GRB150818A,GRB150818A,230.35595800000002,68.3425,,IRAC Map PC,62080768,GRB150818A,2017-02-03 03:24:39,2017-02-03 03:41:18,13104,"Perley, Daniel A",2017-03-02 10:00:00,/sha/archive/proc/IRAC044500/r62080768/SPITZER_I_62080768_DOC.fits,IracMapPC
GRB150817A,GRB150817A,249.63325,-12.053194,,IRAC Map PC,62080512,GRB150817A,2016-11-16 13:04:43,2016-11-16 13:21:24,13104,"Perley, Daniel A",2016-12-08 10:00:00,/sha/archive/proc/IRAC043900/r62080512/SPITZER_I_62080512_DOC.fits,IracMapPC
GRB150727A,GRB150727A,203.96883300000002,-18.325360999999997,,IRAC Map PC,62080256,GRB150727A,2017-04-29 01:12:39,2017-04-29 01:41:50,13104,"Perley, Daniel A",2017-05-25 10:00:00,/sha/archive/proc/IRAC045100/r62080256/SPITZER_I_62080256_DOC.fits,IracMapPC
GRB150711A,GRB150711A,221.626583,-35.456139,,IRAC Map PC,62080000,GRB150711A,2016-11-05 03:44:46,2016-11-05 04:49:31,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62080000/SPITZER_I_62080000_DOC.fits,IracMapPC
GRB150616A,GRB150616A,314.71675,-53.393889,,IRAC Map PC,62079744,GRB150616A,2017-01-07 00:10:31,2017-01-07 01:15:16,13104,"Perley, Daniel A",2017-01-26 10:00:00,/sha/archive/proc/IRAC044300/r62079744/SPITZER_I_62079744_DOC.fits,IracMapPC
GRB150607A,GRB150607A,139.988333,68.436194,,IRAC Map PC,62079488,GRB150607A,2017-07-07 22:13:02,2017-07-07 23:17:47,13104,"Perley, Daniel A",2017-08-03 10:00:00,/sha/archive/proc/IRAC045600/r62079488/SPITZER_I_62079488_DOC.fits,IracMapPC
GRB150514A,GRB150514A,74.87625,-60.968417,,IRAC Map PC,62079232,GRB150514A,2016-12-08 04:34:14,2016-12-08 05:07:18,13104,"Perley, Daniel A",2016-12-22 10:00:00,/sha/archive/proc/IRAC044000/r62079232/SPITZER_I_62079232_DOC.fits,IracMapPC
GRB150430A,GRB150430A,326.479875,-27.901806,,IRAC Map PC,62078976,GRB150430A,2017-01-26 07:04:14,2017-01-26 08:08:59,13104,"Perley, Daniel A",2017-02-09 10:00:00,/sha/archive/proc/IRAC044400/r62078976/SPITZER_I_62078976_DOC.fits,IracMapPC
GRB150424A,GRB150424A,152.30575,-26.630971999999996,,IRAC Map PC,62078464,GRB150424A,2017-03-14 00:57:55,2017-03-14 01:27:06,13104,"Perley, Daniel A",2017-03-29 10:00:00,/sha/archive/proc/IRAC044700/r62078464/SPITZER_I_62078464_DOC.fits,IracMapPC
GRB150413A,GRB150413A,190.424917,71.841111,,IRAC Map PC,62078208,GRB150413A,2018-02-20 19:32:58,2018-02-20 23:57:39,13104,"Perley, Daniel A",2018-03-15 10:00:00,/sha/archive/proc/IRAC047200/r62078208/SPITZER_I_62078208_DOC.fits,IracMapPC
GRB150403A,GRB150403A,311.504792,-62.711389000000004,,IRAC Map PC,62077952,GRB150403A,2017-08-01 12:48:00,2017-08-01 16:06:34,13104,"Perley, Daniel A",2017-08-17 10:00:00,/sha/archive/proc/IRAC045700/r62077952/SPITZER_I_62077952_DOC.fits,IracMapPC
GRB150323A,GRB150323A,128.178458,45.464861,,IRAC Map PC,62077696,GRB150323A,2017-01-30 15:18:42,2017-01-30 15:47:53,13104,"Perley, Daniel A",2017-02-09 10:00:00,/sha/archive/proc/IRAC044400/r62077696/SPITZER_I_62077696_DOC.fits,IracMapPC
GRB150318A,GRB150318A,325.006167,-61.456722,,IRAC Map PC,62077440,GRB150318A,2016-12-19 03:05:48,2016-12-19 04:10:33,13104,"Perley, Daniel A",2017-01-12 10:00:00,/sha/archive/proc/IRAC044100/r62077440/SPITZER_I_62077440_DOC.fits,IracMapPC
GRB150317A,GRB150317A,138.984667,55.465722,,IRAC Map PC,62077184,GRB150317A,2017-02-15 13:14:44,2017-02-15 14:19:29,13104,"Perley, Daniel A",2017-03-02 10:00:00,/sha/archive/proc/IRAC044500/r62077184/SPITZER_I_62077184_DOC.fits,IracMapPC
GRB150317A,GRB150317A,138.984667,55.465722,,IRAC Map PC,63314944,GRB150317A - ch2,2017-07-30 16:26:28,2017-07-30 16:59:31,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045700/r63314944/SPITZER_I_63314944_DOC.fits,IracMapPC
GRB150314A,GRB150314A,126.670708,63.834222,,IRAC Map PC,62076928,GRB150314A,2017-02-01 16:24:07,2017-02-01 17:28:52,13104,"Perley, Daniel A",2017-02-09 10:00:00,/sha/archive/proc/IRAC044400/r62076928/SPITZER_I_62076928_DOC.fits,IracMapPC
GRB150301B,GRB150301B,89.16641700000001,-57.969443999999996,,IRAC Map PC,62076672,GRB150301B,2016-11-06 04:30:15,2016-11-06 05:35:00,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62076672/SPITZER_I_62076672_DOC.fits,IracMapPC
