COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB030204	00h03m21s	+32d44m
GRB030131	13h27m08s	+30d46m
GRB030115C	12h56m36s	-48d28m
GRB030115B	21h38m58s	-80d14m
GRB030115	11h18m30s	+15d02m
GRB021219	18h50m00s	+31d52m
GRB021211	08h08m55s	+06d44m
GRB021206	16h00m43s	-09d43m
GRB021204	06h20m33s	+32d06m
GRB021201	08h07m46s	+21d14m
GRB021125	19h47m00s	+28d06m
GRB021113	01h33m56s	+40d27m
GRB021112	02h36m52s	+48d51m
GRB021104X	03h53m48s	+37d57m
GRB021023	07h24m55s	-16d17m
GRB021021X	00h17m23s	-01d37m
GRB021020	21h29m19s	+51d56m
GRB021016	00h33m44s	+46d47m
GRB021013	14h51m56s	-56d14m
GRB021008	12h45m48s	+44d11m
GRB021004	00h26m56s	+18d56m
GRB020923	14h06m07s	+50d31m
GRB020910	13h56m01s	-44d44m
GRB020904	01h41m58s	-62d07m
GRB020903X	22h49m01s	-20d56m
GRB020819B	23h27m24s	+06d16m
GRB020813	19h46m38s	-19d35m
GRB020812	20h38m48s	-05d23m
GRB020801	20h43m08s	-46d50m
GRB020715	13h50m13s	+61d51m
GRB020714	12h09m05s	+83d07m
GRB020708	09h16m20s	+28d27m
GRB020706	14h21m35s	-55d46m
GRB020625BX	20h44m14s	+07d10m
GRB020604	16h27m32s	-29d48m
GRB020603	19h31m16s	+04d55m
GRB020531	15h15m04s	-19d25m
GRB020525	11h29m33s	-20d21m
GRB020427X	22h09m34s	-65d20m
GRB020418B	08h00m18s	-48d39m
GRB020413	00h59m38s	-07d07m
GRB020410	22h07m04s	-83d49m
GRB020409	08h45m14s	+66d41m
GRB020405	13h58m10s	-31d23m
GRB020331	13h16m34s	-17d52m
GRB020322	17h59m45s	+81d05m
GRB020321	16h13m05s	-83d43m
GRB020317X	10h23m00s	+12d43m
GRB020305	12h43m03s	-14d33m
GRB020127	08h15m06s	+36d44m
GRB020124	09h33m08s	-11d35m
GRB011212X	05h00m05s	+32d08m
GRB011211	11h15m16s	-21d56m
GRB011130X	02h57m49s	+07d22m
GRB011121	11h34m25s	-76d02m
GRB011030X	20h43m35s	+77d17m
GRB011019X	00h42m50s	-12d27m
GRB010921	22h55m35s	+40d56m
GRB010728	11h40m07s	-07d57m
GRB010629B	16h32m38s	-18d43m
GRB010613	17h00m40s	+14d16m
GRB010612	18h03m18s	-32d08m
GRB010518	10h46m44s	-57d47m
GRB010412	19h39m39s	+13d37m
GRB010326B	11h24m24s	-11d10m
GRB010326	08h51m51s	-38d18m
GRB010324	07h11m06s	+20d05m
GRB010222	14h52m12s	+43d01m
GRB010220	02h36m59s	+61d46m
GRB010214	17h41m00s	+48d33m
GRB010213X	10h31m36s	+05d31m
GRB010126	11h57m09s	+49d45m
GRB010119	18h53m50s	+12d01m
GRB010115	20h48m28s	-06d21m
GRB010109	21h33m03s	-49d31m
GRB010104	17h49m46s	+18d14m
GRB010103	08h03m47s	-16d07m
GRB001219	06h53m44s	-57d29m
GRB001212	06h49m35s	+36d22m
GRB001204	02h41m09s	+12d54m
GRB001120	22h18m28s	+01d06m
GRB001109	18h30m07s	+55d18m
GRB001105	13h01m54s	+35d29m
GRB001025B	18h21m41s	-05d08m
GRB001025	08h36m36s	-13d04m
GRB001020	18h06m32s	-24d46m
GRB001019	17h11m44s	+35d20m
GRB001018	13h14m10s	+11d49m
GRB001017	18h08m42s	-02d59m
GRB001011	18h23m28s	-50d54m
GRB001007	04h05m52s	-21d54m
GRB001005	01h24m05s	+25d00m
GRB001004	16h00m21s	-56d49m
GRB000926	17h04m15s	+51d46m
GRB000925	14h20m27s	+19d49m
GRB000911	02h18m42s	+07d48m
GRB000910	00h13m34s	-77d58m
GRB000830	23h34m12s	+06d21m
GRB000820	08h57m21s	-08d49m
GRB000812	18h08m44s	+45d51m
GRB000811	19h58m20s	+23d32m
GRB000801	11h11m46s	-09d25m
GRB000730B	08h25m46s	+60d04m
GRB000730	12h45m08s	+19d16m
GRB000727	11h45m11s	+17d24m
GRB000630	14h47m15s	+41d13m
GRB000623	11h15m41s	+10d42m
GRB000620	07h35m17s	+69d12m
GRB000616	11h20m11s	+26d16m
GRB000615B	02h22m27s	-17d52m
GRB000615	15h32m34s	+73d48m
GRB000608	00h25m01s	-69d02m
GRB000607	02h33m59s	+17d09m
GRB000604	15h35m47s	+10d41m
GRB000529	00h09m08s	-61d32m
GRB000528	10h45m25s	-34d00m
GRB000519	23h04m39s	+01d10m
GRB000516	02h20m16s	-14d50m
GRB000508B	16h54m26s	-20d26m
GRB000429	06h33m21s	-04d25m
GRB000424	06h58m52s	+49d52m
GRB000419	22h00m16s	+48d17m
GRB000418	12h25m21s	+20d05m
GRB000416	17h15m27s	-71d36m
GRB000408	09h10m32s	+66d34m
GRB000326	22h11m23s	-26d08m
GRB000323	12h51m59s	+48d49m
GRB000315	22h43m21s	+17d59m
GRB000307	05h56m19s	+07d56m
GRB000301C	16h20m22s	+29d25m
GRB000301A	23h39m27s	+75d47m
GRB000214	18h54m18s	-66d27m
GRB000210	01h59m15s	-40d40m
GRB000131	06h13m33s	-51d56m
GRB000126	07h44m59s	+07d44m
GRB000115	08h03m12s	-17d06m
GRB991217	23h03m15s	+00d15m
GRB991216	05h19m31s	+11d11m
GRB991208	16h33m55s	+46d26m
GRB991106	22h24m48s	+54d22m
GRB991105	12h03m01s	-66d48m
GRB991014	06h51m06s	+11d36m
GRB990908	06h52m54s	-74d59m
GRB990907	07h30m48s	-69d24m
GRB990806	03h10m35s	-68d07m
GRB990712	22h31m50s	-73d24m
GRB990705	05h09m32s	-72d09m
GRB990704	12h19m10s	-03d48m
GRB990627	01h48m25s	-77d05m
GRB990625	00h26m34s	-31d12m
