grb,ra,dec,err
GRB 140709B , 09:44:13.21 , +63:31:46.5 , 1.5 
GRB 140709A , 20:18:38.94 , +51:13:29.6 , 1.4 
GRB 140706A , 03:17:10.58 , -38:03:06.2 , 1.5 
GRB 140703A , 00:51:58.98 , +45:06:06.9 , 1.4 
GRB 140629A , 16:35:54.48 , +41:52:36.7 , 1.4 
GRB 140628A , 02:42:39.88 , -00:23:05.7 , 1.5 
GRB 140626A , 05:09:30.89 , -82:37:49.9 , 2.0 
GRB 140623A , 15:01:54.51 , +81:11:26.1 , 4.9 
GRB 140622A , 21:08:41.58 , -14:25:09.5 , 2.3 
GRB 140620A , 18:47:29.01 , +49:43:51.3 , 2.2 
GRB 140619A , 01:48:26.08 , -39:15:33.6 , 1.6 
GRB 1406194 , NO POSITION ,,
GRB 140614B , 21:30:31.51 , +14:55:47.1 , 1.7 
GRB 140614A , 15:24:40.57 , -79:07:43.6 , 1.4 
GRB 140611A , 23:19:40.14 , -40:06:16.0 , 5.5 
GRB 140610A , 19:05:04.57 , +03:54:29.1 , 3.0 
GRB 140606B , 21:52:29.97 , +32:00:52.1 , 2.3 
GRB 140529A , 15:15:07.73 , -41:03:07.3 , 2.6 
GRB 140523A , NO POSITION ,,
GRB 140518A , 15:09:00.60 , +42:25:05.6 , 1.5 
GRB 140516A , 16:51:57.38 , +39:57:45.9 , 2.2 
GRB 140515A , 12:24:15.46 , +15:06:17.2 , 1.5 
GRB 140512A , 19:17:28.82 , -15:05:39.5 , 1.4 
GRB 140509A , 03:06:22.82 , -62:38:21.5 , 1.4 
GRB 140508A , 17:01:51.96 , +46:46:49.4 , 1.8 
GRB 140506A , 18:27:06.10 , -55:38:09.4 , 1.4 
GRB 140502A , 21:16:45.13 , +48:58:12.9 , 2.0 
GRB 140430A , 06:51:44.60 , +23:01:24.2 , 1.5 
GRB 140428A , 12:57:28.44 , +28:23:05.8 , 1.7 
GRB 140423A , 13:09:08.51 , +49:50:29.6 , 1.4 
GRB 140419A , 08:27:57.51 , +46:14:24.0 , 1.4 
GRB 140413A , 04:21:49.14 , -51:10:59.1 , 1.6 
GRB 140412A , 09:39:53.60 , -65:49:18.5 , 1.8 
GRB 140408A , 19:22:51.85 , -12:35:42.5 , 1.8 
GRB 140402A , 13:50:23.66 , +05:46:27.4 , 4.9 
GRB 140331A , 08:59:27.46 , +02:43:02.3 , 1.7 
GRB 140330A , 21:41:46.06 , -64:11:17.7 , 3.9 
GRB 140323A , 23:47:50.21 , -79:54:16.6 , 1.4 
GRB 140320C , 08:57:34.65 , +71:11:54.4 , 2.7 
GRB 140320B , 09:42:14.74 , +60:16:07.0 , 3.6 
GRB 140320A , 18:47:25.19 , -11:11:39.1 , 4.8 
GRB 140318A , 12:16:21.43 , +20:12:32.9 , 1.6 
GRB 140311B , 16:49:18.03 , +52:43:27.3 , 1.5 
GRB 140311A , 13:57:13.26 , +00:38:30.9 , 1.5 
GRB 140304A , 02:02:34.26 , +33:28:25.5 , 1.5 
GRB 140302A , 16:55:26.32 , -12:52:41.8 , 1.8 
GRB 140301A , 04:38:13.88 , -34:15:23.4 , 1.6 
GRB 140226A , 14:45:58.04 , +14:59:38.5 , 3.9 
GRB 140221A , NO POSITION ,,
GRB 140215A , 06:56:35.79 , +41:47:10.8 , 1.4 
GRB 140213A , 07:00:37.26 , -73:08:14.3 , 1.4 
GRB 140211A , 08:16:53.53 , +20:14:36.1 , 4.9 
GRB 140209A , 05:25:18.97 , +32:29:54.0 , 2.5 
GRB 140206A , 09:41:20.26 , +66:45:38.6 , 1.4 
GRB 140129B , 21:47:01.63 , +26:12:22.9 , 1.7 
GRB 140129A , 02:31:33.83 , -01:35:43.3 , 1.4 
GRB 140114A , 12:34:05.08 , +27:57:02.0 , 1.4 
GRB 140110A , 01:54:20.35 , -36:29:44.1 , 5.7 
GRB 140108A , 21:40:26.88 , +58:44:40.0 , 1.4 
GRB 140104B , 14:35:00.97 , -09:01:39.8 , 4.3 
GRB 140104B , NO POSITION ,,
GRB 140103A , 15:28:20.83 , +37:45:27.2 , 1.8 
GRB 140102A , 14:07:40.59 , +01:20:00.1 , 1.4 
GRB 131231A , 00:42:21.64 , -01:39:12.0 , 2.0 
GRB 131229A , 05:40:55.62 , -04:23:46.8 , 1.4 
GRB 131227A , 04:29:30.77 , +28:52:59.2 , 1.4 
GRB 131224A , NO POSITION ,,
GRB 131218A , NO POSITION ,,
GRB 131205A , 08:46:30.69 , -60:09:21.6 , 1.8 
GRB 131202A , 22:56:12.98 , -21:39:44.3 , 1.6 
GRB 131128A , 23:41:13.79 , +31:18:22.7 , 1.5 
GRB 131127B , NO POSITION ,,
GRB 131127A , 22:10:55.14 , +36:36:34.5 , 1.4 
GRB 131122A , 10:10:09.84 , +57:43:41.5 , 2.6 
GRB 131117A , 22:09:19.44 , -31:45:44.2 , 1.5 
GRB 131110A , NO POSITION ,,
GRB 131108A , 10:26:00.42 , +09:39:45.0 , 1.6 
GRB 131105A , 04:43:52.17 , -62:59:43.4 , 1.4 
GRB 131103A , 23:15:40.46 , -44:38:25.4 , 1.4 
GRB 131031A , 01:58:26.55 , -01:34:46.1 , 3.4 
GRB 131030A , 23:00:16.19 , -05:22:06.1 , 1.4 
GRB 131024B , 09:38:00.67 , +44:16:16.8 , 2.4 
GRB 131024A , 19:21:55.59 , -64:36:09.6 , 1.4 
GRB 131018B , 20:18:08.50 , +23:11:12.7 , 3.8 
GRB 131018A , 06:33:53.11 , -19:53:47.5 , 1.4 
GRB 131014A , 06:41:12.54 , -19:05:51.8 , 2.3 
GRB 131011A , 02:10:06.28 , -04:24:40.9 , 3.3 
GRB 131004A , 19:44:27.13 , -02:57:30.4 , 1.4 
GRB 131002B , 05:00:29.62 , -75:42:10.8 , 2.1 
GRB 131002A , 16:52:52.70 , +82:03:14.6 , 2.9 
GRB 130929A , 09:00:05.78 , -47:33:39.8 , 1.6 
GRB 130925A , 02:44:42.95 , -26:09:11.2 , 1.4 
GRB 130912A , 03:10:22.25 , +13:59:48.7 , 1.5 
GRB 130907A , 14:23:34.12 , +45:36:26.2 , 1.4 
GRB 130903A , 05:28:31.25 , -00:07:37.5 , 2.6 
GRB 130831B , 12:49:40.92 , -29:10:59.6 , 1.4 
GRB 130831A , 23:54:29.92 , +29:25:47.2 , 1.4 
GRB 130829A , NO POSITION ,,
GRB 130822A , 01:51:41.27 , -03:12:32.0 , 2.7 
GRB 130816B , 11:20:03.93 , -57:33:25.9 , 3.7 
GRB 130816A , 13:08:33.68 , -58:56:41.5 , 1.5 
GRB 130812A , 06:09:35.00 , -13:17:17.8 , 1.5 
GRB 130807A , 17:59:11.89 , -27:36:59.6 , 3.6 
GRB 130806A , 02:23:42.77 , +67:31:56.0 , 1.9 
GRB 130803A , 14:41:00.64 , -02:29:31.3 , 1.4 
GRB 130727A , 22:03:11.58 , -65:32:18.9 , 1.4 
GRB 130725B , 14:16:57.73 , -11:07:42.6 , 1.4 
GRB 130725A , 15:20:07.77 , +00:37:39.0 , 1.8 
GRB 130722A , 17:22:36.45 , -02:58:22.1 , 1.4 
GRB 130719A , NO POSITION ,,
GRB 130716A , 11:58:17.66 , +63:03:11.6 , 2.0 
GRB 130702A , 14:29:14.76 , +15:46:26.6 , 1.5 
GRB 130701A , 23:48:55.05 , +36:06:01.4 , 1.5 
GRB 130627B , 12:07:38.61 , -55:42:01.9 , 4.5 
GRB 130627A , 12:17:39.68 , -37:05:12.5 , 1.5 
GRB 130626A , NO POSITION ,,
GRB 130625A , 22:53:06.85 , +82:10:27.0 , 2.0 
GRB 130623A , 01:23:25.89 , -77:46:23.3 , 5.2 
GRB 130615A , 18:19:19.09 , -68:09:40.0 , 1.9 
GRB 130612A , 17:19:10.62 , +16:43:11.7 , 1.5 
GRB 130610A , 14:57:40.91 , +28:12:25.7 , 1.4 
GRB 130609B , 03:35:05.04 , -40:10:26.7 , 1.4 
GRB 130609A , 10:10:40.44 , +24:07:56.5 , 1.5 
GRB 130608A , 01:38:26.66 , +41:30:09.9 , 1.5 
GRB 130606B , 14:34:07.00 , -22:06:07.6 , 1.5 
GRB 130606A , 16:37:35.12 , +29:47:46.6 , 1.4 
GRB 130605A , 08:58:08.56 , -33:27:41.4 , 1.8 
GRB 130604A , 16:40:45.01 , +68:13:35.7 , 1.6 
GRB 130603B , 11:28:48.16 , +17:04:16.9 , 1.4 
GRB 130603A , 05:47:35.08 , +82:54:30.6 , 1.5 
GRB 130529A , 01:37:07.72 , -64:08:50.9 , 1.4 
GRB 130528A , 09:18:01.47 , +87:18:03.7 , 1.7 
GRB 130527A , 20:37:06.34 , -24:43:30.3 , 1.4 
GRB 130521A , NO POSITION ,,
GRB 130518A , 23:42:40.23 , +47:27:53.4 , 2.1 
GRB 130515A , 18:53:45.71 , -54:16:45.5 , 2.2 
GRB 130514B , 09:50:26.05 , -18:57:54.6 , 1.8 
GRB 130514A , 19:45:07.91 , -07:58:34.7 , 1.5 
GRB 130513A , 09:39:02.85 , -05:14:30.3 , 2.8 
GRB 130511A , 13:06:34.88 , +18:42:35.7 , 1.4 
GRB 130508A , 20:21:17.43 , +34:57:28.7 , 1.7 
GRB 130505B , 09:17:21.81 , +01:42:03.6 , 3.5 
GRB 130505A , 09:08:14.62 , +17:29:04.3 , 1.4 
GRB 130504C , 06:06:31.00 , +03:50:01.5 , 2.0 
GRB 130504A , 18:09:49.49 , -16:18:48.8 , 1.7 
GRB 130502B , 04:27:02.73 , +71:03:38.4 , 1.4 
GRB 130502A , 09:14:16.53 , -00:07:23.9 , 1.5 
GRB 130427B , 20:59:35.67 , -22:32:48.6 , 1.4 
GRB 130427A , 11:32:32.34 , +27:41:54.5 , 3.5 
GRB 130420B , 12:12:30.78 , +54:23:26.1 , 1.7 
GRB 130420A , 13:04:25.50 , +59:25:26.7 , 1.4 
GRB 130419A , NO POSITION ,,
GRB 130418A , 09:56:08.89 , +13:40:01.7 , 1.8 
GRB 130408A , 08:57:37.32 , -32:21:39.3 , 1.4 
GRB 130327B , 14:31:30.63 , -69:24:15.6 , 4.5 
GRB 130327A , 06:08:09.23 , +55:42:53.9 , 1.6 
GRB 130315A , 10:30:11.57 , -51:47:39.8 , 1.7 
GRB 130313A , 15:45:38.91 , -00:22:07.5 , 4.9 
GRB 130306A , 18:37:50.86 , -11:40:53.1 , 3.6 
GRB 130305A , 07:46:59.01 , +52:01:57.5 , 2.4 
GRB 130215A , NO POSITION ,,
GRB 130211A , 09:50:08.68 , -42:20:40.6 , 4.6 
GRB 130206A , 09:21:30.52 , -58:11:43.6 , 6.1 
GRB 130131B , 11:35:49.33 , +15:02:17.5 , 1.6 
GRB 130131A , 11:24:30.41 , +48:04:33.2 , 1.5 
GRB 130122A , 12:57:08.48 , +59:00:52.1 , 1.5 
GRB 130102A , 20:45:41.51 , +49:49:03.6 , 1.6 
GRB 121229A , 12:40:24.31 , -50:35:39.5 , 1.7 
GRB 121226A , 11:14:34.17 , -30:24:22.7 , 1.5 
GRB 121217A , 10:14:50.44 , -62:21:01.8 , 1.4 
GRB 121212A , 11:51:10.15 , +78:02:13.7 , 1.4 
GRB 121211A , 13:02:07.96 , +30:08:54.5 , 1.4 
GRB 121209A , 21:47:08.92 , -08:14:07.2 , 1.4 
GRB 121202A , 17:07:11.24 , +23:56:53.3 , 1.4 
GRB 121201A , 00:53:52.18 , -42:56:34.6 , 1.4 
GRB 121128A , 20:02:23.96 , +54:17:59.0 , 1.4 
GRB 121125A , 15:14:06.69 , +55:18:48.0 , 1.4 
GRB 121123A , 20:29:16.33 , -11:51:36.7 , 1.4 
GRB 121117A , 02:06:26.53 , +07:25:10.5 , 1.7 
GRB 121108A , 05:32:46.70 , +54:28:24.4 , 1.5 
GRB 121102A , 18:03:36.24 , -16:57:27.3 , 1.5 
GRB 121031A , 11:23:04.82 , -03:31:01.8 , 1.4 
GRB 121028A , 18:07:35.83 , -02:17:36.0 , 1.7 
GRB 121027A , 04:14:23.47 , -58:49:46.8 , 1.4 
GRB 121025A , 16:33:31.92 , +27:40:15.1 , 2.5 
GRB 121024A , 04:41:53.30 , -12:17:26.0 , 1.4 
GRB 121017A , 19:15:19.21 , -01:36:16.1 , 1.4 
GRB 121014A , NO POSITION ,,
GRB 121011A , 17:20:51.36 , +41:06:36.5 , 1.5 
GRB 121001A , 18:24:07.66 , -05:39:56.7 , 1.7 
GRB 120927A , 09:06:27.30 , +00:24:57.9 , 1.4 
GRB 120923A , 20:15:10.73 , +06:13:16.9 , 1.9 
GRB 120922A , 15:38:59.66 , -20:10:55.2 , 1.4 
GRB 120919A , 14:19:21.51 , -45:33:40.5 , 4.2 
GRB 120911A , 23:51:55.02 , +63:05:55.7 , 1.6 
GRB 120909A , 18:22:56.81 , -59:26:54.9 , 1.4 
GRB 120907A , 04:58:60.00 , -09:18:53.7 , 1.4 
GRB 120819A , 15:43:37.88 , -07:18:32.6 , 1.7 
GRB 120817A , 16:42:45.40 , -38:21:15.4 , 1.8 
GRB 120816A , 18:48:34.33 , -06:56:17.6 , 2.3 
GRB 120815A , 18:15:49.92 , -52:07:53.2 , 1.4 
GRB 120811C , 13:18:43.80 , +62:18:02.5 , 1.4 
GRB 120811A , 17:08:39.69 , -22:42:39.5 , 2.4 
GRB 120807A , 16:05:02.43 , -47:28:46.8 , 1.8 
GRB 120805A , 14:26:09.12 , +05:49:30.2 , 2.4 
GRB 120804A , 15:35:47.53 , -28:46:56.2 , 1.4 
GRB 120803B , 20:56:56.69 , +53:18:15.4 , 1.7 
GRB 120803A , 17:58:02.97 , -06:45:45.9 , 3.2 
GRB 120802A , 02:59:22.22 , +13:46:05.8 , 1.4 
GRB 120729A , 00:52:17.89 , +49:56:22.4 , 1.4 
GRB 120728A , 09:08:22.65 , -54:26:15.1 , 1.6 
GRB 120724A , 16:20:43.21 , +03:30:28.7 , 1.5 
GRB 120722A , 15:21:59.15 , +13:15:05.4 , 1.6 
GRB 120716A , 20:52:12.14 , +09:35:54.4 , 3.5 
GRB 120714B , 23:41:37.23 , -46:11:08.7 , 6.1 
GRB 120714A , 11:11:55.91 , -30:37:37.8 , 1.6 
GRB 120712A , 11:18:21.21 , -20:02:01.9 , 1.4 
GRB 120711B , 22:06:46.02 , +60:01:21.9 , 1.8 
GRB 120711A , 06:18:42.74 , -70:59:57.7 , 1.4 
GRB 120709A , NO POSITION ,,
GRB 120703A , 22:37:25.68 , -29:43:24.6 , 1.4 
GRB 120701A , 05:21:23.50 , -58:32:58.5 , 1.4 
GRB 120630A , 23:29:11.05 , +42:33:20.5 , 4.2 
GRB 120624B , 11:23:31.99 , +08:55:41.8 , 4.7 
GRB 120612A , 08:26:53.20 , -17:34:29.1 , 1.4 
GRB 120521C , 14:17:08.75 , +42:08:41.3 , 1.6 
GRB 120521B , 13:08:02.28 , -52:45:16.7 , 1.5 
GRB 120521A , 09:54:53.94 , -49:25:01.6 , 1.8 
GRB 120514A , 18:52:00.20 , -04:15:49.4 , 1.5 
GRB 120426A , NO POSITION ,,
GRB 120426A , NO POSITION ,,
GRB 120426A , NO POSITION ,,
GRB 120422A , 09:07:38.40 , +14:01:06.3 , 1.7 
GRB 120419A , 12:29:33.04 , -63:00:31.9 , 5.1 
GRB 120404A , 15:40:02.35 , +12:53:05.4 , 1.4 
GRB 120403B , 03:41:06.80 , -89:00:32.0 , 3.6 
GRB 120403A , NO POSITION ,,
GRB 120401A , 03:52:19.76 , -17:38:08.1 , 1.4 
GRB 120328A , 16:06:27.33 , -39:20:08.9 , 1.5 
GRB 120327A , 16:27:27.49 , -29:24:53.9 , 1.5 
GRB 120326A , 18:15:37.07 , +69:15:35.4 , 1.4 
GRB 120324A , 19:24:18.85 , +24:07:46.5 , 1.4 
GRB 120320A , 14:10:04.24 , +08:41:47.8 , 1.6 
GRB 120312A , 16:47:09.20 , +23:51:28.9 , 1.5 
GRB 120311B , 17:14:14.90 , -13:03:05.5 , 1.4 
GRB 120311A , 18:12:22.08 , +14:17:45.9 , 1.5 
GRB 120308A , 14:36:19.99 , +79:41:12.0 , 1.4 
GRB 120305A , 03:10:08.66 , +28:29:31.0 , 1.8 
GRB 120302A , 08:09:35.47 , +29:37:39.7 , 3.3 
GRB 120229A , NO POSITION ,,
GRB 120224A , 02:43:46.17 , -17:45:40.6 , 1.4 
GRB 120219A , 08:39:09.74 , +51:01:54.3 , 1.5 
GRB 120218A , NO POSITION ,,
GRB 120215A , 02:00:11.45 , +08:48:07.5 , 1.4 
GRB 120213A , 20:04:02.83 , +65:24:40.3 , 1.4 
GRB 120212A , 02:52:24.07 , -18:01:15.1 , 1.4 
GRB 120211A , 05:51:00.89 , -24:46:30.7 , 1.6 
GRB 120202A , NO POSITION ,,
GRB 120121A , 16:37:25.06 , -23:57:41.8 , 1.6 
GRB 120119A , 08:00:06.90 , -09:04:54.5 , 1.4 
GRB 120118B , 08:19:29.04 , -07:11:05.3 , 1.4 
GRB 120116A , 01:04:57.85 , +33:55:50.5 , 1.4 
GRB 120107A , NO POSITION ,,
GRB 120107A , NO POSITION ,,
GRB 120106A , 04:24:25.82 , +64:02:18.8 , 1.4 
GRB 120102A , 18:24:53.96 , +24:42:47.1 , 1.4 
GRB 111229A , 05:05:09.16 , -84:42:39.6 , 1.9 
GRB 111228A , 10:00:16.07 , +18:17:51.3 , 1.4 
GRB 111225A , 00:52:37.35 , +51:34:18.1 , 1.6 
GRB 111222A , 11:56:52.76 , +69:04:13.4 , 2.7 
GRB 111215B , 14:49:36.25 , +16:27:14.3 , 2.2 
GRB 111215A , 23:18:13.32 , +32:29:38.6 , 1.4 
GRB 111212A , 20:41:43.58 , -68:36:44.9 , 1.4 
GRB 111211A , 10:12:21.69 , +11:12:28.1 , 1.4 
GRB 111210A , 12:45:54.41 , -07:09:57.9 , 1.8 
GRB 111209A , 00:57:22.63 , -46:48:03.5 , 1.4 
GRB 111208A , 19:20:53.79 , +40:40:34.4 , 1.6 
GRB 111205A , 08:58:43.26 , -31:56:37.0 , 3.8 
GRB 111204A , 22:26:30.77 , -31:22:28.6 , 1.9 
GRB 111201A , 12:41:54.66 , +32:59:12.8 , 1.8 
GRB 111129A , 20:29:44.27 , -52:42:47.5 , 1.4 
GRB 111123A , 10:19:23.15 , -20:38:41.1 , 1.4 
GRB 111121A , 10:19:02.73 , -46:40:14.8 , 1.4 
GRB 111117A , 00:50:46.24 , +23:00:40.1 , 4.2 
GRB 111109A , 07:52:48.86 , -41:35:02.6 , 2.4 
GRB 111107A , 08:37:54.45 , -66:31:11.5 , 1.5 
GRB 111103B , 17:42:46.40 , +01:36:36.0 , 1.4 
GRB 111029A , 02:59:08.17 , +57:06:38.6 , 1.8 
GRB 111022B , 07:15:51.56 , +49:41:00.7 , 1.5 
GRB 111022A , 18:23:27.35 , -23:40:25.1 , 3.7 
GRB 111020A , 19:08:12.52 , -38:00:43.0 , 1.6 
GRB 111018A , 18:05:57.24 , -03:54:25.8 , 1.9 
GRB 111016A , 10:15:20.17 , +27:27:43.9 , 1.4 
GRB 111008A , 04:01:48.23 , -32:42:34.1 , 1.4 
GRB 110928A , 17:10:55.82 , +36:32:09.3 , 1.7 
GRB 110921A , 19:36:23.51 , +36:19:43.2 , 1.4 
GRB 110918A , 02:10:08.99 , -27:06:19.0 , 3.5 
GRB 110918A , 02:10:09.28 , -27:06:22.2 , 1.5 
GRB 110915B , 05:10:13.12 , +01:55:57.4 , 1.6 
GRB 110915A , 20:43:17.88 , -00:43:23.2 , 1.4 
GRB 110903A , 13:08:15.72 , +58:58:54.1 , 1.6 
GRB 110825A , 02:59:11.76 , +15:25:40.9 , 4.2 
GRB 110820A , 22:52:46.08 , +70:17:55.3 , 1.7 
GRB 110818A , 21:09:20.88 , -63:58:51.7 , 1.4 
GRB 110808A , 03:49:04.20 , -44:11:42.1 , 1.6 
GRB 110802A , 02:58:09.62 , +32:34:43.8 , 4.4 
GRB 110801A , 05:57:44.52 , +80:57:22.4 , 1.4 
GRB 110731A , 18:42:01.06 , -28:32:13.4 , 1.4 
GRB 110726A , 19:06:52.18 , +56:04:16.3 , 1.5 
GRB 110719A , 01:38:19.40 , +34:35:11.0 , 1.8 
GRB 110715A , 15:50:44.03 , -46:14:06.7 , 1.4 
GRB 110709B , 10:58:37.10 , -23:27:17.3 , 1.4 
GRB 110709A , 15:55:33.96 , +40:55:27.3 , 1.4 
GRB 110708A , 22:40:27.29 , +53:57:45.3 , 4.6 
GRB 110625A , 19:06:55.56 , +06:45:16.2 , 3.6 
GRB 110610A , 20:32:42.67 , +74:49:30.0 , 1.5 
GRB 110604A , 18:03:26.04 , +18:24:00.3 , 4.1 
GRB 110530A , 18:48:16.50 , +61:55:43.6 , 1.4 
GRB 110521A , 08:00:31.89 , +45:49:37.1 , 1.7 
GRB 110503A , 08:51:06.28 , +52:12:26.9 , 1.4 
GRB 110428A , 00:22:22.90 , +64:50:56.4 , 7.2 
GRB 110422A , 07:28:11.24 , +75:06:24.4 , 1.4 
GRB 110420A , 00:08:39.29 , -37:53:11.4 , 1.4 
GRB 110414A , 06:31:29.47 , +24:21:45.0 , 1.4 
GRB 110411A , 19:25:46.14 , +67:42:41.6 , 1.4 
GRB 110407A , 12:24:07.54 , +15:42:42.8 , 1.7 
GRB 110402A , 13:09:36.58 , +61:15:09.2 , 1.5 
GRB 110319B , 21:44:22.91 , -56:46:56.5 , 2.2 
GRB 110319A , 23:46:00.60 , -66:00:40.2 , 1.4 
GRB 110318B , 14:06:42.74 , -51:34:44.2 , 1.5 
GRB 110315A , 18:36:46.82 , +17:32:19.9 , 1.4 
GRB 110312A , 10:29:55.45 , -05:15:45.0 , 1.4 
GRB 110305A , 17:23:31.35 , -15:48:09.5 , 1.5 
GRB 110223B , 10:00:55.82 , -68:18:05.8 , 1.4 
GRB 110223A , 23:03:22.82 , +87:33:27.8 , 1.7 
GRB 110213B , 02:47:01.54 , +01:08:44.8 , 2.2 
GRB 110213A , 02:51:51.45 , +49:16:22.8 , 1.4 
GRB 110210A , 00:52:13.61 , +07:46:47.3 , 1.4 
GRB 110208A , 01:29:50.92 , -20:35:33.6 , 1.5 
GRB 110206A , 06:09:20.19 , -58:48:25.2 , 1.9 
GRB 110205A , 10:58:31.04 , +67:31:30.3 , 1.4 
GRB 110201A , 09:10:18.71 , +88:36:22.3 , 3.6 
GRB 110128A , 12:55:35.14 , +28:03:53.4 , 1.6 
GRB 110119A , 23:14:20.60 , +05:59:09.9 , 1.4 
GRB 110112A , 21:59:43.75 , +26:27:24.1 , 1.6 
GRB 110107A , 19:59:38.24 , +41:54:52.2 , 2.7 
GRB 110106B , 08:56:37.21 , +47:00:09.5 , 1.4 
GRB 110106A , 05:17:13.50 , +64:10:25.0 , 1.7 
GRB 110102A , 16:23:31.43 , +07:36:50.3 , 1.4 
GRB 101225A , 00:00:47.52 , +44:36:01.2 , 1.4 
GRB 101224A , 19:03:41.72 , +45:42:49.5 , 3.2 
GRB 101219B , 00:48:55.40 , -34:33:60.0 , 1.4 
GRB 101219A , 04:58:20.43 , -02:32:23.0 , 1.6 
GRB 101213A , 16:05:15.27 , +21:53:50.6 , 1.4 
GRB 101204A , 11:10:08.83 , -20:25:11.9 , 1.6 
GRB 101201A , 00:07:52.20 , -16:11:06.8 , 1.8 
GRB 101117B , 11:32:00.48 , -72:39:46.4 , 1.4 
GRB 101114A , 20:12:50.68 , +14:01:57.6 , 2.0 
GRB 101112A , 19:28:54.87 , +39:21:08.9 , 3.8 
GRB 101030A , 11:05:31.65 , -16:22:41.8 , 1.5 
GRB 101024A , 04:26:01.56 , -77:15:54.4 , 1.5 
GRB 101023A , 21:11:51.34 , -65:23:16.9 , 1.4 
GRB 101017A , 19:25:32.50 , -35:08:42.4 , 1.5 
GRB 101011A , 03:13:10.55 , -65:58:54.6 , 1.5 
GRB 101008A , 21:55:30.05 , +37:04:01.8 , 1.9 
GRB 100915A , 21:02:46.78 , +65:40:23.3 , 1.6 
GRB 100909A , 04:55:47.71 , +54:39:28.3 , 3.3 
GRB 100906A , 01:54:44.10 , +55:37:49.5 , 1.4 
GRB 100905A , 02:06:12.06 , +14:55:45.5 , 1.5 
GRB 100902A , 03:14:31.00 , +30:58:44.0 , 1.4 
GRB 100901A , 01:49:03.49 , +22:45:30.3 , 1.4 
GRB 100823A , 01:22:49.00 , +05:50:05.0 , 1.5 
GRB 100816A , 23:26:57.61 , +26:34:42.0 , 1.4 
GRB 100814A , 01:29:53.58 , -17:59:43.9 , 1.4 
GRB 100807A , 03:41:12.14 , +67:40:17.5 , 1.5 
GRB 100805A , 19:59:30.53 , +52:37:40.1 , 1.4 
GRB 100802A , 00:09:52.54 , +47:45:16.8 , 1.5 
GRB 100728B , 02:56:13.44 , +00:16:51.5 , 1.4 
GRB 100728A , 05:55:01.99 , -15:15:20.1 , 1.4 
GRB 100727A , 10:16:42.68 , -21:23:25.9 , 1.4 
GRB 100725B , 19:20:07.94 , +76:57:23.3 , 1.4 
GRB 100725A , 11:05:55.58 , -26:40:12.6 , 1.6 
GRB 100724A , 12:58:10.38 , -11:06:09.3 , 1.5 
GRB 100713A , 17:00:48.32 , +28:23:39.8 , 2.4 
GRB 100704A , 08:54:33.98 , -24:12:10.0 , 1.4 
GRB 100702A , 16:22:47.24 , -56:31:53.2 , 3.7 
GRB 100628A , 15:03:53.54 , -31:39:50.4 , 4.6 
GRB 100625A , 01:03:10.92 , -39:05:18.5 , 1.8 
GRB 100621A , 21:01:13.10 , -51:06:22.8 , 1.4 
GRB 100619A , 05:38:29.33 , -27:00:19.2 , 1.4 
GRB 100615A , 11:48:49.31 , -19:28:51.8 , 1.4 
GRB 100614A , 17:33:59.88 , +49:14:02.5 , 1.8 
GRB 100606A , 23:22:30.49 , -66:14:29.1 , 1.4 
GRB 100528A , 20:44:33.93 , +27:48:23.9 , 1.7 
GRB 100526B , 00:02:56.60 , -37:54:49.2 , 4.1 
GRB 100526A , 15:23:04.61 , +25:37:55.9 , 1.7 
GRB 100522A , 00:27:56.79 , +09:24:05.9 , 1.4 
GRB 100518A , 20:19:09.38 , -24:33:15.9 , 2.0 
GRB 100514A , 21:55:17.45 , +29:09:35.4 , 1.6 
GRB 100513A , 11:18:26.83 , +03:37:40.8 , 1.4 
GRB 100508A , 05:04:58.98 , -20:42:41.8 , 1.4 
GRB 100504A , 17:02:17.18 , -35:35:13.9 , 3.6 
GRB 100425A , 19:56:47.18 , -26:25:50.6 , 1.5 
GRB 100424A , 13:57:47.48 , +01:32:19.1 , 1.7 
GRB 100420A , 19:44:30.56 , +55:46:08.9 , 1.8 
GRB 100418A , 17:05:27.22 , +11:27:39.1 , 1.9 
GRB 100414A , 12:48:26.92 , +08:41:35.4 , 1.9 
GRB 100413A , 17:44:53.14 , +15:50:03.1 , 1.4 
GRB 100331B , 20:12:05.17 , -11:06:30.0 , 1.7 
GRB 100316D , 07:10:30.75 , -56:15:18.7 , 3.4 
GRB 100316C , 02:09:09.10 , -67:59:28.7 , 1.8 
GRB 100316B , 10:53:57.19 , -45:28:20.8 , 1.5 
GRB 100316A , 16:47:54.65 , +71:49:36.3 , 2.3 
GRB 100305A , 11:13:28.07 , +42:24:13.9 , 1.4 
GRB 100302A , 13:02:03.83 , +74:35:23.7 , 1.5 
GRB 100219A , 10:16:48.46 , -12:34:00.2 , 1.4 
GRB 100213B , 08:17:07.40 , +43:26:49.3 , 4.4 
GRB 100213A , 23:17:33.95 , +43:22:44.3 , 2.3 
GRB 100212A , 23:45:40.35 , +49:29:39.8 , 1.5 
GRB 100206A , 03:08:39.00 , +13:09:24.8 , 3.2 
GRB 100205A , 09:25:33.08 , +31:44:24.3 , 1.7 
GRB 100117A , 00:45:04.58 , -01:35:46.5 , 3.6 
GRB 100115A , 00:13:28.02 , -00:49:36.0 , 3.5 
