grb,ra,dec,err
GRB 170428A , 22:00:18.75 , +26:54:57.1 , 2.3 
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170424A , NO POSITION ,,
GRB 170419B , NO POSITION ,,
GRB 170419A , 05:19:25.12 , -21:25:25.8 , 1.6 
GRB 170405A , 14:39:18.66 , -25:14:36.2 , 1.4 
GRB 170331A , 21:35:10.06 , -24:23:11.0 , 1.5 
GRB 170330A , 18:53:19.30 , -13:25:52.2 , 1.4 
GRB 170318B , 18:57:13.47 , +06:17:57.0 , 1.8 
GRB 170318A , 20:22:40.12 , +28:24:21.6 , 1.7 
GRB 170317A , 06:12:14.88 , +50:29:34.9 , 1.4 
GRB 170311A , 18:42:21.47 , -30:02:45.3 , 1.5 
GRB 170307A , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306B , NO POSITION ,,
GRB 170306A , 17:32:16.55 , -44:44:53.6 , 3.6 
GRB 170222A , NO POSITION ,,
GRB 170222A , NO POSITION ,,
GRB 170222A , NO POSITION ,,
GRB 170214A , 17:05:21.94 , -01:53:15.1 , 2.4 
GRB 170209A , NO POSITION ,,
GRB 170208B , 08:28:34.55 , -09:01:47.9 , 1.6 
GRB 170208A , 11:06:15.52 , -46:46:05.6 , 1.4 
GRB 170206B , 18:07:04.92 , +11:11:37.8 , 1.6 
GRB 170205A , 17:28:40.63 , -00:03:47.5 , 1.4 
GRB 170203A , NO POSITION ,,
GRB 170202A , 10:10:03.48 , +05:00:41.0 , 1.4 
GRB 170131A , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127C , NO POSITION ,,
GRB 170127B , 01:19:54.50 , -30:21:29.2 , 2.0 
GRB 170127A , 11:37:26.32 , -45:50:08.3 , 3.7 
GRB 170126A , 17:34:31.86 , -64:45:38.9 , 1.7 
GRB 170121B , NO POSITION ,,
GRB 170117A , NO POSITION ,,
GRB 170115B , NO POSITION ,,
GRB 170115B , NO POSITION ,,
GRB 170115B , NO POSITION ,,
GRB 170115B , NO POSITION ,,
GRB 170115B , NO POSITION ,,
GRB 170115A , 22:08:33.28 , +13:43:42.1 , 3.7 
GRB 170113A , 04:06:55.93 , -71:56:34.4 , 1.4 
GRB 170112A , NO POSITION ,,
GRB 170111A , 01:22:47.37 , -32:33:54.3 , 1.5 
GRB 170101A , NO POSITION ,,
GRB 161224A , 13:39:15.83 , -18:01:44.2 , 4.2 
GRB 161220A , 23:23:23.01 , -47:30:04.8 , 1.6 
GRB 161219B , 06:06:51.37 , -26:47:29.7 , 1.4 
GRB 161218A , NO POSITION ,,
GRB 161217A , 10:02:36.27 , +52:21:32.5 , 1.5 
GRB 161214B , 00:15:24.28 , +07:21:08.4 , 1.4 
GRB 161202A , 23:47:36.65 , +19:38:47.4 , 1.4 
GRB 161129A , 21:04:54.65 , +32:08:05.4 , 1.4 
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161123A , NO POSITION ,,
GRB 161117B , 19:55:18.01 , -67:42:09.3 , 1.5 
GRB 161117A , 21:28:12.59 , -29:36:50.4 , 1.4 
GRB 161113A , 11:59:10.50 , -05:18:33.1 , 1.5 
GRB 161109A , NO POSITION ,,
GRB 161109A , NO POSITION ,,
GRB 161109A , NO POSITION ,,
GRB 161109A , NO POSITION ,,
GRB 161109A , NO POSITION ,,
GRB 161108A , 12:03:09.10 , +24:52:05.5 , 1.5 
GRB 161105A , 08:00:44.10 , -44:46:30.6 , 1.7 
GRB 161104A , 05:11:34.45 , -51:27:36.4 , 3.0 
GRB 161023A , 20:44:05.20 , -47:39:48.7 , 1.5 
GRB 161022A , 08:36:00.35 , +54:20:53.9 , 1.4 
GRB 161017A , 09:31:04.53 , +43:07:34.9 , 1.4 
GRB 161015A , NO POSITION ,,
GRB 161015A , NO POSITION ,,
GRB 161015A , NO POSITION ,,
GRB 161015A , NO POSITION ,,
GRB 161015A , NO POSITION ,,
GRB 161015A , 17:57:00.46 , +30:22:25.0 , 2.7 
GRB 161014A , 22:10:35.41 , +07:28:07.6 , 1.4 
GRB 161011A , 16:22:54.88 , +08:18:39.6 , 1.4 
GRB 161010A , 18:20:51.40 , -28:47:07.1 , 2.9 
GRB 161007A , 06:53:38.19 , +23:18:24.3 , 1.5 
GRB 161004B , 07:28:36.29 , -39:53:52.6 , 1.4 
GRB 161004A , 17:32:36.56 , -00:57:02.5 , 1.5 
GRB 161001A , 04:47:40.80 , -57:15:39.0 , 1.4 
GRB 160927A , 17:04:58.20 , +17:19:55.0 , 1.7 
GRB 160925A , NO POSITION ,,
GRB 160917A , 19:42:39.90 , +46:24:12.4 , 1.5 
GRB 160912A , 20:05:59.77 , +57:33:55.8 , 1.7 
GRB 160910A , NO POSITION ,,
GRB 160910A , 14:45:46.04 , +39:04:01.2 , 2.3 
