grb,ra,dec
GRB121201A,00h53m57s,-42d57m
GRB121128A,20h02m20s,+54d19m
GRB121127A,11h45m45s,-52d25m
GRB121125A,15h14m05s,+55d19m
GRB121123A,20h29m27s,-11d52m
GRB121118B,11h26m49s,-03d04m
GRB121118A,19h57m31s,+65d39m
GRB121117A,02h06m32s,+07d23m
GRB121108A,05h32m45s,+54d29m
GRB121102A,18h03m37s,-16d58m
GRB121031A,11h23m05s,-03d31m
GRB121028A,18h07m42s,-02d17m
GRB121027A,04h14m26s,-58d48m
GRB121025A,16h35m00s,+27d44m
GRB121024A,04h41m52s,-12d16m
GRB121017A,19h15m16s,-01d36m
GRB121014A,11h06m31s,-29d07m
GRB121011A,17h20m48s,+41d08m
GRB121001A,18h24m08s,-05d40m
GRB120927A,09h06m24s,+00d25m
GRB120923A,20h15m11s,+06d14m
GRB120922A,15h39m01s,-20d11m
GRB120919B,20h10m32s,-37d29m
GRB120919A,14h19m04s,-45d34m
GRB120918A,12h04m13s,-32d45m
GRB120916A,13h42m31s,+36d42m
GRB120913B,14h14m35s,-14d32m
GRB120913A,09h45m45s,+26d59m
GRB120911B,11h28m35s,-37d42m
GRB120911A,23h51m51s,+63d06m
GRB120909A,18h22m44s,-59d26m
GRB120908A,15h23m06s,-25d30m
GRB120907A,04h58m58s,-09d18m
GRB120830A,05h54m36s,-28d59m
GRB120821A,17h01m05s,-40d31m
GRB120819A,15h43m33s,-07d08m
GRB120817B,00h33m17s,-26d31m
GRB120817A,16h42m49s,-38d20m
GRB120816B,22h29m48s,-01d37m
GRB120816A,18h48m30s,-06d59m
GRB120815A,18h15m40s,-52d08m
GRB120811C,13h18m50s,+62d17m
GRB120811B,02h54m53s,-30d14m
GRB120811A,17h08m44s,-22d44m
GRB120807A,16h04m51s,-47d29m
GRB120805A,14h26m08s,+05d48m
GRB120804A,15h35m43s,-28d46m
GRB120803B,20h56m54s,+53d17m
GRB120803A,17h58m16s,-06d43m
GRB120802A,02h59m24s,+13d45m
GRB120729A,00h52m13s,+49d56m
GRB120728A,09h08m24s,-54d26m
GRB120724A,16h20m46s,+03d31m
GRB120722A,15h21m58s,+13d15m
GRB120716A,20h52m21s,+09d33m
GRB120714B,23h41m44s,-46d11m
GRB120714A,11h11m53s,-30d38m
GRB120712A,11h18m25s,-20d04m
GRB120711B,22h06m40s,+60d01m
GRB120711A,06h18m49s,-71d01m
GRB120709A,21h13m38s,-50d02m
GRB120703A,22h37m26s,-29d44m
GRB120701A,05h21m21s,-58d32m
GRB120630A,23h29m11s,+42d33m
GRB120624B,11h23m46s,+08d56m
GRB120622A,13h41m43s,-01d43m
GRB120612A,08h26m54s,-17d35m
GRB120522A,11h03m59s,-62d06m
GRB120521C,14h17m09s,+42d07m
GRB120521B,13h08m03s,-52d45m
GRB120521A,09h54m46s,-49d25m
GRB120514A,18h51m58s,-04d15m
GRB120510A,02h57m09s,+72d51m
GRB120426A,07h26m09s,-65d38m
GRB120424A,01h35m56s,-29d53m
GRB120422A,09h07m43s,+14d00m
GRB120419A,12h29m29s,-63d02m
GRB120404A,15h40m03s,+12d53m
GRB120403B,03h39m14s,-89d02m
GRB120403A,02h49m50s,+40d28m
GRB120401A,03h52m16s,-17d40m
GRB120328A,16h06m12s,-39d20m
GRB120327A,16h27m19s,-29d25m
GRB120326A,18h15m42s,+69d17m
GRB120325A,11h55m17s,+73d11m
GRB120324A,19h24m20s,+24d09m
GRB120323A,22h41m38s,+29d43m
GRB120320A,14h10m09s,+08d41m
GRB120312A,16h47m03s,+23d51m
GRB120311B,17h14m00s,-13d04m
GRB120311A,18h12m21s,+14d17m
GRB120308A,14h36m19s,+79d42m
GRB120305A,03h10m11s,+28d30m
GRB120302A,08h09m48s,+29d40m
GRB120229A,01h20m08s,-35d48m
GRB120226A,20h11m43s,+48d40m
GRB120224A,02h43m54s,-17d48m
GRB120219A,08h39m10s,+51d01m
GRB120218A,21h19m02s,-25d27m
GRB120215A,02h00m08s,+08d47m
GRB120213A,20h04m08s,+65d24m
GRB120212A,02h52m25s,-18d01m
GRB120211A,05h51m00s,-24d46m
GRB120202A,13h34m04s,+22d48m
GRB120127A,09h16m34s,+15d53m
GRB120121A,16h37m21s,-23d59m
GRB120119A,08h00m07s,-09d04m
GRB120118B,08h19m28s,-07d11m
GRB120118A,13h01m28s,-61d36m
GRB120116A,01h05m00s,+33d56m
GRB120114A,21h11m37s,+57d02m
GRB120107A,16h25m36s,-69d56m
GRB120106A,04h24m31s,+64d02m
GRB120102A,18h24m48s,+24d44m
GRB111229A,05h05m08s,-84d43m
GRB111228A,10h00m19s,+18d18m
GRB111225A,00h52m24s,+51d35m
GRB111222A,12h39m05s,+65d50m
GRB111215B,14h49m37s,+16d26m
GRB111215A,23h18m12s,+32d29m
GRB111212A,20h41m37s,-68d37m
GRB111211A,10h12m22s,+11d11m
GRB111210A,12h45m57s,-07d10m
GRB111209A,00h57m26s,-46d47m
GRB111208A,19h20m52s,+40d40m
GRB111207A,06h11m42s,-39d30m
GRB111205A,08h57m57s,-31d58m
GRB111204A,22h26m34s,-31d24m
GRB111201A,12h41m56s,+33d00m
GRB111129A,20h29m46s,-52d43m
GRB111126A,18h24m24s,+51d28m
GRB111123A,10h19m24s,-20d38m
GRB111121A,10h19m00s,-46d38m
GRB111117A,00h50m49s,+23d01m
GRB111109A,07h52m47s,-41d36m
GRB111107A,08h37m56s,-66d30m
GRB111103B,17h42m49s,+01d35m
GRB111103A,21h28m29s,-10d33m
GRB111029A,02h58m46s,+57d05m
GRB111026A,16h17m06s,-47d30m
GRB111024A,14h48m42s,+25d51m
GRB111022B,07h15m48s,+49d40m
GRB111022A,18h23m29s,-23d40m
GRB111020A,19h08m06s,-37d59m
GRB111018A,18h06m00s,-03d52m
GRB111016B,19h22m00s,-04d35m
GRB111016A,10h15m13s,+27d29m
GRB111008A,04h01m49s,-32d41m
GRB111005A,14h53m08s,-19d44m
GRB110928A,17h11m01s,+36d34m
GRB110921A,19h36m19s,+36d23m
GRB110918A,02h10m18s,-27d17m
GRB110915B,05h10m12s,+01d56m
GRB110915A,20h43m24s,-00d43m
GRB110906A,19h47m34s,-26d13m
GRB110903A,13h08m09s,+59d00m
GRB110827A,10h56m23s,+53d47m
GRB110825A,02h59m35s,+15d24m
GRB110820B,10h30m20s,-54d36m
GRB110820A,22h53m20s,+70d18m
GRB110818A,21h09m32s,-63d58m
GRB110815A,05h41m11s,+32d27m
GRB110812A,23h53m38s,+72d12m
GRB110808A,03h49m03s,-44d11m
GRB110802A,02h57m49s,+32d36m
GRB110801A,05h59m22s,+80d59m
GRB110731A,18h42m05s,-28d33m
GRB110726A,19h07m00s,+56d03m
GRB110721A,22h13m36s,-39d00m
GRB110719A,01h38m15s,+34d34m
GRB110715A,15h50m38s,-46d14m
GRB110709B,10h58m27s,-23d29m
GRB110709A,15h55m35s,+40d54m
GRB110708A,22h40m20s,+53d57m
GRB110625A,19h07m00s,+06d45m
GRB110610A,20h32m36s,+74d49m
GRB110604A,18h04m01s,+18d28m
#GRB110530, 18h48m11, +61d65m
GRB110521A,08h00m35s,+45d48m
GRB110520A,08h57m30s,+56d24m
GRB110519A,17h26m31s,-23d24m
GRB110518A,04h28m43s,-34d12m
GRB110503A,08h51m12s,+52d13m
GRB110428A,00h21m12s,+64d48m
GRB110426A,14h44m00s,-11d10m
GRB110422A,07h27m59s,+75d06m
GRB110420B,21h20m12s,-41d16m
GRB110420A,00h08m40s,-37d51m
GRB110414A,06h31m30s,+24d22m
GRB110412A,08h53m58s,+13d31m
GRB110411A,19h25m45s,+67d44m
GRB110407A,12h23m59s,+15d43m
GRB110406A,01h09m22s,+35d49m
GRB110402A,13h09m41s,+61d14m
GRB110328B,07h50m24s,+43d12m
GRB110319B,21h44m18s,-56d46m
GRB110319A,23h45m36s,-66d01m
GRB110318B,14h06m47s,-51d34m
GRB110318A,22h33m06s,-15d17m
GRB110315A,18h36m46s,+17d32m
GRB110312A,10h29m55s,-05d15m
GRB110305A,17h23m31s,-15d47m
GRB110223B,10h01m06s,-68d20m
GRB110223A,23h02m24s,+87d34m
GRB110213B,02h46m27s,+01d11m
GRB110213A,02h52m01s,+49d17m
GRB110212A,04h36m13s,+43d42m
GRB110210A,00h52m19s,+07d47m
GRB110208A,01h29m56s,-20d38m
GRB110207A,00h50m10s,-10d48m
GRB110206A,06h09m29s,-58d47m
GRB110205A,10h58m21s,+67d31m
GRB110201A,09h08m16s,+88d36m
GRB110128A,12h55m30s,+28d05m
GRB110119A,23h14m14s,+05d59m
GRB110112B,00h42m24s,+64d24m
GRB110112A,21h59m46s,+26d29m
GRB110107A,19h59m34s,+41d53m
GRB110106B,08h56m47s,+47d00m
GRB110106A,05h17m08s,+64d11m
GRB110102A,16h23m31s,+07d37m
GRB101225A,00h00m56s,+44d36m
GRB101224A,19h03m42s,+45d43m
GRB101219B,00h49m02s,-34d32m
GRB101219A,04h58m28s,-02d32m
GRB101213A,16h05m09s,+21d55m
GRB101204A,11h10m12s,-20d26m
GRB101201A,00h07m49s,-16d12m
GRB101129A,10h23m41s,-17d39m
GRB101117B,11h31m38s,-72d40m
GRB101114A,20h12m46s,+14d02m
GRB101112A,19h28m54s,+39d21m
GRB101030A,11h05m34s,-16d23m
GRB101024A,04h25m54s,-77d15m
GRB101023A,21h11m49s,-65d24m
GRB101020A,12h38m16s,+23d10m
GRB101017A,19h25m31s,-35d08m
GRB101011A,03h13m12s,-65d59m
GRB101008A,21h55m34s,+37d04m
GRB100928A,14h52m09s,-28d34m
GRB100924A,00h02m41s,+07d01m
GRB100917A,19h17m04s,-17d06m
GRB100915B,05h41m31s,+25d05m
GRB100915A,21h02m36s,+65d40m
GRB100909A,04h55m48s,+54d39m
GRB100906A,01h54m50s,+55d37m
GRB100905A,02h06m07s,+14d56m
GRB100904A,11h31m41s,-16d13m
GRB100902A,03h14m35s,+30d58m
GRB100901A,01h48m59s,+22d45m
GRB100823A,01h22m49s,+05d51m
GRB100816A,23h26m58s,+26d34m
GRB100814A,01h29m55s,-17d59m
GRB100807A,03h41m18s,+67d41m
GRB100805A,19h59m30s,+52d37m
GRB100802A,00h09m50s,+47d45m
GRB100728B,02h56m13s,+00d17m
GRB100728A,05h08m16s,-14d20m
GRB100727A,10h16m40s,-21d22m
GRB100725B,19h20m06s,+76d57m
GRB100725A,11h06m04s,-26d41m
GRB100724B,08h00m10s,+76d44m
GRB100724A,12h58m16s,-11d07m
GRB100719A,07h29m03s,-05d50m
GRB100713A,17h00m50s,+28d23m
GRB100707A,23h52m05s,-08d39m
GRB100704A,08h54m33s,-24d13m
GRB100703A,00h38m05s,-25d43m
GRB100702A,16h22m49s,-56d32m
GRB100628A,15h03m52s,-31d40m
GRB100625A,01h03m05s,-39d05m
GRB100621A,21h01m14s,-51d05m
GRB100619A,05h38m28s,-27d00m
GRB100615A,11h48m50s,-19d30m
GRB100614A,17h34m05s,+49d14m
GRB100606A,23h22m25s,-66d14m
GRB100528A,20h44m29s,+27d49m
GRB100526B,00h02m48s,-37d54m
GRB100526A,15h23m08s,+25d38m
GRB100522A,20h27m56s,+09d25m
GRB100518A,20h19m13s,-24d32m
GRB100514A,21h55m17s,+29d10m
GRB100513A,11h18m19s,+03d36m
GRB100510A,23h43m46s,-35d35m
GRB100508A,05h05m00s,-20d43m
GRB100504A,17h02m17s,-35d36m
GRB100427A,05h56m41s,-03d28m
GRB100425A,19h56m45s,-26d26m
GRB100424A,13h57m49s,+01d31m
GRB100423A,09h05m54s,+21d29m
GRB100420A,19h44m31s,+55d48m
GRB100418A,17h05m30s,+11d28m
GRB100415A,00h29m48s,-16d24m
GRB100414A,12h14m28s,+20d27m
GRB100413B,23h47m16s,+51d19m
GRB100413A,17h44m52s,+15d50m
GRB100401A,19h23m15s,-08d15m
GRB100331B,20h11m57s,-11d04m
GRB100331A,17h24m14s,-58d57m
GRB100325A,22h00m58s,-26d28m
GRB100324A,06h34m27s,-09d44m
GRB100322B,05h05m57s,+42d41m
GRB100316D,07h10m28s,-56d09m
GRB100316C,02h09m10s,-68d01m
GRB100316B,10h54m00s,-45d29m
GRB100316A,16h48m08s,+71d50m
GRB100305A,11h13m28s,+42d23m
GRB100302A,13h01m23s,+74d35m
GRB100225A,20h41m12s,-59d24m
GRB100224A,05h33m52s,-08d00m
GRB100219A,10h16m53s,-12d34m
GRB100216A,10h17m03s,+35d31m
GRB100213B,08h17m21s,+43d27m
GRB100213A,23h17m43s,+43d23m
GRB100212A,23h45m51s,+49d30m
GRB100206A,03h08m42s,+13d10m
GRB100205A,09h25m37s,+31d44m
GRB100203A,06h24m54s,+04d48m
GRB100119A,19h57m18s,-53d10m
GRB100117A,00h45m02s,-01d36m
GRB100116A,20h20m05s,+14d27m
GRB100115A,00h13m20s,-00d49m
GRB100111A,16h28m09s,+15d33m
GRB100103A,07h29m27s,-34d27m
GRB091230 ,8h51m51s ,53d53m
GRB091221 ,3h43m01s ,23d13m
GRB091208B,01h57m39s,+16d53m
GRB091208 ,0h01m06s ,65d40m
GRB091202 ,9h15m11s ,62d33m
GRB091130B,13h32m24s,+34d05m
GRB091127 ,2h26m17s ,18d57m
GRB091120 ,5h07m14s ,21d47m
GRB091117 ,2h03m47s ,16d57m
GRB091112 ,7h11m00s ,36d44m
GRB091111 ,9h11m15s ,45d55m
GRB091109B,07h31m00s,-54d06m
GRB091109 ,0h37m00s ,44d11m
GRB091104 ,3h54m53s ,47d23m
GRB091102 ,4h50m29s ,72d32m
GRB091031 ,4h42m48s ,61d35m
GRB091029 ,4h00m44s ,56d00m
GRB091026 ,8h26m20s ,86d07m
GRB091024 ,2h36m50s ,56d52m
GRB091020 ,1h42m52s ,50d58m
GRB091018 ,2h08m51s ,57d32m
GRB091015 ,0h24m31s ,06d10m
GRB091010 ,9h54m40s ,22d32m
GRB091003 ,6h46m05s ,36d38m
GRB090929B,07h50m49s,-00d38m
GRB090929 ,3h45m58s ,05d58m
GRB090927 ,2h55m49s ,70d59m
GRB090926B,03h05m16s,-39d01m
GRB090926 ,3h33m36s ,66d19m
GRB090916 ,8h26m19s ,25d56m
GRB090915 ,5h51m58s ,15d29m
GRB090912 ,2h32m22s ,61d31m
GRB090904B,17h36m46s,-25d13m
GRB090904 ,6h43m32s ,50d12m
GRB090902B,17h40m00s,+27d20m
GRB090831C,07h13m07s,-25d06m
GRB090831 ,9h41m36s ,51d24m
GRB090827 ,1h13m44s ,50d54m
GRB090823 ,8h34m51s ,60d40m
GRB090817 ,4h15m58s ,44d08m
GRB090815C,04h17m58s,-65d57m
GRB090814B,04h18m59s,+60d36m
GRB090814 ,5h58m27s ,25d36m
GRB090813 ,5h08m04s ,88d34m
GRB090812 ,3h32m47s ,10d36m
GRB090809 ,1h54m35s ,00d05m
GRB090807 ,8h14m59s ,10d17m
GRB090728 ,1h58m38s ,41d39m
GRB090727 ,1h03m53s ,64d55m
GRB090726 ,6h35m16s ,72d52m
GRB090720 ,3h34m47s ,10d20m
GRB090715B,16h45m23s,+44d50m
GRB090715 ,0h08m29s ,10d00m
GRB090712 ,4h40m25s ,22d33m
GRB090709B,06h14m22s,+64d05m
GRB090709 ,9h19m44s ,60d44m
GRB090708 ,0h18m31s ,26d38m
GRB090704 ,3h52m49s ,22d47m
GRB090702 ,1h43m33s ,11d30m
GRB090628 ,5h48m12s ,15d45m
GRB090626 ,1h20m02s ,33d30m
GRB090625B,00h09m03s,-65d47m
GRB090621B,20h53m44s,+69d01m
GRB090621 ,0h43m57s ,61d58m
GRB090618 ,9h36m05s ,78d21m
GRB090607 ,2h44m50s ,44d08m
GRB090531B,16h48m15s,-36d01m
GRB090531 ,1h54m45s ,07d48m
GRB090530 ,1h57m35s ,26d35m
GRB090529 ,4h09m54s ,24d26m
GRB090520 ,0h46m27s ,08d00m
GRB090519 ,9h29m10s ,00d11m
GRB090518 ,7h59m44s ,00d46m
GRB090516 ,9h13m05s ,11d51m
GRB090515 ,0h56m41s ,14d27m
GRB090510 ,2h14m13s ,26d36m
GRB090509 ,6h05m37s ,28d24m
GRB090429B,14h02m49s,+32d10m
GRB090429 ,6h02m14s ,52d23m
GRB090427 ,5h43m43s ,13d30m
GRB090426 ,2h36m22s ,32d58m
GRB090424 ,2h38m09s ,16d50m
GRB090423 ,9h55m35s ,18d07m
GRB090422 ,9h39m01s ,40d23m
GRB090419 ,3h07m54s ,75d36m
GRB090418B,15h03m38s,+17d13m
GRB090418 ,7h57m20s ,33d25m
GRB090417B,13h58m49s,+47d00m
GRB090417 ,2h19m59s ,07d11m
GRB090410 ,2h19m55s ,15d28m
GRB090407 ,4h35m50s ,12d40m
GRB090404 ,5h56m52s ,35d30m
GRB090401B,06h20m24s,-08d58m
GRB090401 ,3h23m38s ,29d46m
GRB090328 ,6h03m29s ,41d57m
GRB090324 ,7h08m43s ,48d09m
GRB090323 ,2h42m46s ,17d05m
GRB090313 ,3h13m35s ,08d06m
GRB090309 ,8h59m55s ,25d16m
GRB090308 ,2h14m06s ,48d53m
GRB090307 ,6h19m55s ,28d39m
GRB090306B,15h24m49s,-06d57m
GRB090305 ,6h07m02s ,31d34m
GRB090301 ,2h32m34s ,26d39m
GRB090217 ,3h39m36s ,08d24m
GRB090205 ,4h43m42s ,27d52m
GRB090201 ,6h08m07s ,46d35m
GRB090129 ,7h56m22s ,32d50m
GRB090126 ,0h15m23s ,81d22m
GRB090123 ,0h27m06s ,23d31m
GRB090118 ,3h19m28s ,18d29m
GRB090117 ,0h56m01s ,58d15m
GRB090113 ,2h08m18s ,33d27m
GRB090111 ,6h46m35s ,00d05m
GRB090107B,18h59m15s,+59d36m
GRB090107 ,0h09m42s ,04d44m
GRB090102 ,8h33m02s ,33d05m
GRB081230 ,2h29m16s ,25d08m
GRB081228 ,2h37m52s ,30d51m
GRB081226B,01h41m51s,-47d25m
GRB081226 ,8h02m06s ,69d00m
GRB081222 ,1h31m00s ,34d08m
GRB081221 ,1h03m13s ,24d32m
GRB081211B,11h12m55s,+53d51m
GRB081211 ,1h52m21s ,33d49m
GRB081210 ,4h41m50s ,11d16m
GRB081204 ,3h18m52s ,60d10m
GRB081203B,15h15m10s,+44d26m
GRB081203 ,5h32m08s ,63d30m
GRB081128 ,1h23m12s ,38d07m
GRB081127 ,2h08m22s ,06d52m
GRB081126 ,1h34m10s ,48d43m
GRB081121 ,5h57m03s ,60d38m
GRB081118 ,5h30m22s ,43d18m
GRB081109 ,2h03m09s ,54d43m
GRB081105 ,0h15m52s ,03d27m
GRB081104 ,6h41m56s ,54d44m
GRB081102 ,2h04m44s ,53d00m
GRB081101 ,6h23m18s ,00d05m
GRB081029 ,3h06m49s ,68d10m
GRB081028 ,8h07m34s ,02d19m
GRB081025 ,6h21m12s ,60d28m
GRB081024B,21h31m36s,+21d12m
GRB081024 ,1h51m36s ,61d21m
GRB081022 ,5h06m28s ,12d25m
GRB081017 ,5h20m43s ,32d49m
GRB081016B,00h58m28s,-43d33m
GRB081016 ,7h02m16s ,23d20m
GRB081012 ,2h00m52s ,17d38m
GRB081011 ,4h41m27s ,33d36m
GRB081008 ,8h39m57s ,57d28m
GRB081007 ,2h39m54s ,40d08m
GRB081003B,19h00m28s,+16d41m
GRB081003 ,7h29m30s ,16d34m
GRB081001 ,8h26m18s ,08d45m
GRB080928 ,6h20m20s ,55d10m
GRB080922 ,8h03m23s ,22d29m
GRB080919 ,7h41m09s ,42d24m
GRB080916C,07h59m31s,-56d35m
GRB080916B,10h54m30s,+69d03m
GRB080916 ,2h25m12s ,57d01m
GRB080915B,14h12m19s,-11d28m
GRB080915 ,1h12m01s ,76d01m
GRB080913 ,4h22m54s ,25d07m
GRB080906 ,5h11m34s ,80d29m
GRB080905B,20h06m53s,-62d34m
GRB080905 ,9h10m39s ,18d53m
GRB080903 ,5h47m11s ,51d20m
GRB080828 ,3h18m31s ,65d56m
GRB080825B,13h57m08s,-68d57m
GRB080822B,04h13m59s,+25d45m
GRB080810 ,3h47m07s ,00d19m
GRB080805 ,0h56m55s ,62d26m
GRB080804 ,1h54m48s ,53d12m
GRB080802 ,8h02m54s ,32d20m
GRB080727C,02h10m35s,+64d09m
GRB080727B,18h27m29s,+01d10m
GRB080727 ,3h53m33s ,18d33m
GRB080726 ,1h21m35s ,13d55m
GRB080725 ,8h06m52s ,13d59m
GRB080723B,11h47m10s,-60d14m
GRB080723 ,8h18m03s ,06d55m
GRB080721 ,4h57m53s ,11d43m
GRB080714 ,2h32m26s ,60d17m
GRB080710 ,0h33m02s ,19d30m
GRB080707 ,2h10m32s ,33d09m
GRB080703 ,6h47m28s ,63d13m
GRB080702B,23h42m24s,-05d29m
GRB080702 ,0h51m25s ,72d18m
GRB080701 ,3h03m21s ,75d29m
GRB080625 ,9h53m46s ,56d16m
GRB080623 ,5h50m38s ,62d02m
GRB080613B,11h35m11s,-07d06m
GRB080613 ,4h13m01s ,05d09m
GRB080607 ,2h59m52s ,15d54m
GRB080605 ,7h28m31s ,04d00m
GRB080604 ,5h47m53s ,20d33m
GRB080603B,11h46m07s,+68d05m
GRB080603 ,8h37m31s ,62d44m
GRB080602 ,1h16m41s ,09d15m
GRB080523 ,1h22m56s ,64d03m
GRB080520 ,8h40m46s ,55d00m
GRB080517 ,6h49m01s ,50d44m
GRB080516 ,8h02m31s ,26d11m
GRB080515 ,0h12m36s ,32d36m
GRB080514B,21h31m17s,+00d44m
GRB080507 ,5h34m53s ,56d25m
GRB080506 ,1h57m44s ,39d00m
GRB080503 ,9h06m28s ,68d47m
GRB080430 ,1h01m17s ,51d41m
GRB080426 ,1h46m18s ,69d29m
GRB080414 ,8h08m30s ,18d52m
GRB080413B,21h44m32s,-19d58m
GRB080413 ,9h09m10s ,27d41m
GRB080411 ,2h32m04s ,71d20m
GRB080409 ,5h37m20s ,05d05m
GRB080408 ,7h38m43s ,33d18m
GRB080405 ,0h50m23s ,04d15m
GRB080330 ,1h17m12s ,30d34m
GRB080328 ,5h21m55s ,47d31m
GRB080325 ,8h31m35s ,36d31m
GRB080320 ,1h51m07s ,57d09m
GRB080319D,06h37m55s,+23d56m
GRB080319C,17h15m54s,+55d25m
GRB080319B,14h31m42s,+36d18m
GRB080319 ,3h45m25s ,44d05m
GRB080315 ,0h20m44s ,41d44m
GRB080310 ,4h40m19s ,00d10m
GRB080307 ,9h06m32s ,35d10m
GRB080303 ,7h28m18s ,70d14m
GRB080229B,13h16m53s,-64d53m
GRB080229 ,5h12m52s ,14d43m
GRB080218B,11h51m48s,-53d06m
GRB080218 ,3h43m41s ,12d10m
GRB080212 ,5h24m26s ,22d45m
GRB080211 ,2h55m52s ,60d02m
GRB080210 ,6h45m05s ,13d50m
GRB080207 ,3h50m03s ,07d31m
GRB080205 ,6h32m53s ,62d46m
GRB080130 ,7h26m42s ,53d11m
GRB080129 ,7h01m07s ,07d50m
GRB080123 ,2h35m43s ,64d53m
GRB080122 ,2h45m24s ,27d01m
GRB080121 ,9h08m56s ,41d50m
GRB080120 ,5h01m09s ,10d54m
GRB071227 ,3h52m29s ,55d57m
GRB071129 ,4h40m22s ,26d42m
GRB071122 ,8h26m20s ,47d04m
GRB071118 ,9h59m16s ,70d06m
GRB071117 ,2h20m38s ,63d26m
GRB071112C,02h36m53s,+28d23m
GRB071112B,17h21m13s,-80d53m
GRB071109 ,9h19m39s ,02d03m
GRB071104 ,9h42m24s ,14d39m
GRB071101 ,3h12m46s ,62d28m
GRB071031 ,0h25m50s ,58d03m
GRB071028B,23h36m39s,-31d38m
GRB071028 ,7h59m23s ,21d30m
GRB071025 ,3h40m20s ,31d45m
GRB071021 ,2h42m33s ,23d40m
GRB071020 ,7h58m39s ,32d52m
GRB071018 ,0h58m42s ,53d50m
GRB071013 ,8h38m06s ,33d51m
GRB071011 ,0h33m36s ,61d04m
GRB071010C,22h32m13s,+66d10m
GRB071010B,10h02m07s,+45d44m
GRB071010 ,9h12m24s ,32d23m
GRB071008 ,0h06m11s ,44d20m
GRB071006 ,2h21m07s ,23d09m
GRB071003 ,0h07m25s ,10d58m
GRB071001 ,9h59m04s ,59d45m
GRB070925 ,6h52m45s ,22d01m
GRB070923 ,2h18m30s ,38d16m
GRB070920B,00h00m35s,-34d49m
GRB070920 ,6h43m44s ,72d14m
GRB070917 ,9h35m42s ,02d25m
GRB070913 ,5h15m20s ,24d20m
GRB070911 ,1h43m12s ,33d28m
GRB070810B,00h35m46s,+08d50m
GRB070810 ,2h39m53s ,10d44m
GRB070809 ,3h35m08s ,22d08m
GRB070808 ,0h27m04s ,01d10m
GRB070805 ,6h20m10s ,59d57m
GRB070802 ,2h27m24s ,55d32m
GRB070731 ,1h54m17s ,15d45m
GRB070729 ,3h45m17s ,35d19m
GRB070724B,01h10m31s,+57d40m
GRB070724 ,1h51m16s ,18d37m
GRB070721B,02h12m31s,-02d11m
GRB070721 ,0h12m42s ,28d33m
GRB070714B,03h51m25s,+28d18m
GRB070714 ,2h51m44s ,30d14m
GRB070707 ,7h51m23s ,68d54m
GRB070704 ,3h38m54s ,66d15m
GRB070628 ,7h41m08s ,20d17m
GRB070621 ,1h35m13s ,24d48m
GRB070616 ,2h08m37s ,56d57m
GRB070615 ,2h57m12s ,04d24m
GRB070612B,17h26m51s,-08d43m
GRB070612 ,8h05m32s ,37d16m
GRB070611 ,0h07m57s ,29d45m
GRB070531 ,0h26m43s ,74d18m
GRB070529 ,8h55m00s ,20d38m
GRB070521 ,6h10m41s ,30d14m
GRB070520B,08h07m48s,+57d37m
GRB070520 ,2h53m16s ,75d00m
GRB070518 ,6h56m54s ,55d18m
GRB070517 ,8h30m19s ,62d20m
GRB070509 ,5h51m42s ,78d41m
GRB070508 ,0h51m08s ,78d22m
GRB070506 ,3h08m52s ,10d44m
GRB070429B,21h52m06s,-38d51m
GRB070429 ,9h50m45s ,32d23m
GRB070427 ,1h55m27s ,27d38m
GRB070420 ,8h05m01s ,45d34m
GRB070419B,21h02m52s,-31d16m
GRB070419 ,2h10m51s ,39d54m
GRB070412 ,2h06m01s ,40d06m
GRB070411 ,7h09m21s ,01d05m
GRB070406 ,3h15m49s ,16d32m
GRB070402 ,0h44m44s ,27d24m
GRB070330 ,7h58m05s ,63d47m
GRB070328 ,4h20m28s ,34d04m
GRB070318 ,3h14m10s ,42d58m
GRB070311 ,5h50m17s ,03d22m
GRB070309 ,7h34m45s ,37d58m
GRB070306 ,9h52m20s ,10d28m
GRB070227 ,8h02m16s ,46d18m
GRB070224 ,1h55m58s ,13d20m
GRB070223 ,0h13m49s ,43d07m
GRB070220 ,2h19m17s ,68d49m
GRB070219 ,7h20m48s ,69d22m
GRB070209 ,3h04m57s ,47d22m
GRB070208 ,3h11m41s ,61d58m
GRB070129 ,2h28m03s ,11d43m
GRB070126 ,2h13m50s ,73d31m
GRB070125 ,7h51m24s ,31d08m
GRB070124 ,4h45m32s ,54d34m
GRB070110 ,0h03m38s ,52d58m
GRB070107 ,0h37m38s ,53d12m
GRB070103 ,3h30m14s ,26d53m
GRB061222B,07h01m26s,-25d51m
GRB061222 ,3h52m58s ,46d32m
GRB061218 ,9h56m53s ,35d09m
GRB061217 ,0h41m46s ,21d07m
GRB061210 ,9h38m03s ,15d38m
GRB061202 ,7h02m34s ,74d40m
GRB061201 ,2h07m53s ,74d36m
GRB061126 ,5h46m30s ,64d11m
GRB061122 ,0h15m21s ,15d31m
GRB061121 ,9h49m00s ,13d11m
GRB061110B,21h35m36s,+06d53m
GRB061110 ,2h25m13s ,02d16m
GRB061102 ,9h53m37s ,17d04m
GRB061028 ,6h28m51s ,46d16m
GRB061027 ,8h03m15s ,82d14m
GRB061025 ,0h03m39s ,48d15m
GRB061021 ,9h40m32s ,21d56m
GRB061019 ,6h06m28s ,29d34m
GRB061007 ,3h05m16s ,50d29m
