grb,ra,dec
GRB161202A,23h47m35s,+19d38m
GRB161129A,21h04m46s,+32d07m
GRB161123A,02h08m51s,-39d39m
GRB161117B,19h55m25s,-67d42m
GRB161117A,21h28m17s,-29d38m
GRB161113A,11h59m20s,-05d21m
GRB161109A,10h31m26s,+61d48m
GRB161108A,12h03m08s,+24d52m
GRB161105A,08h00m39s,-44d47m
GRB161104A,05h11m31s,+51d27m
GRB161023A,20h44m08s,-47d40m
GRB161022A,08h35m52s,+54d22m
GRB161020B,04h12m25s,-75d35m
GRB161020A,10h44m08s,-54d46m
GRB161017A,09h31m04s,+43d08m
GRB161015A,17h56m36s,+30d11m
GRB161014A,22h10m31s,+07d29m
GRB161011A,16h22m51s,+08d20m
GRB161010A,18h20m57s,-28d46m
GRB161007A,06h53m34s,+23d17m
GRB161004B,07h28m38s,-39d54m
GRB161004A,17h32m41s,-00d56m
GRB161001A,04h47m39s,-57d17m
GRB160927A,17h05m03s,+17d19m
GRB160917A,19h42m41s,+46d24m
GRB160912A,20h06m04s,+57d33m
GRB160910A,14h45m02s,+38d46m
GRB160905A,10h48m57s,-50d48m
GRB160829A,13h26m48s,-56d46m
GRB160827A,11h57m11s,-29d10m
GRB160826A,12h12m18s,-67d41m
GRB160824A,05h20m19s,+40d02m
GRB160821B,18h39m57s,+62d24m
GRB160821A,11h24m59s,+42d21m
GRB160819A,07h36m33s,-22d21m
GRB160816A,19h18m43s,-35d38m
GRB160815A,19h14m11s,+84d19m
GRB160814A,09h04m17s,-20d58m
GRB160804A,14h46m33s,+10d00m
GRB160802A,01h52m07s,+71d22m
GRB160801A,14h11m03s,+13d30m
GRB160726A,06h35m17s,-06d33m
GRB160720A,03h52m37s,+73d54m
GRB160716A,12h42m10s,-61d22m
GRB160714A,15h37m51s,+63d50m
GRB160712A,20h16m36s,-26d59m
GRB160709A,15h43m59s,-28d11m
GRB160705B,11h12m21s,+46d43m
GRB160705A,07h47m00s,-14d59m
GRB160703A,19h09m34s,+36d54m
GRB160702A,15h23m33s,+08d43m
GRB160630A,13h12m57s,-56d04m
GRB160629A,00h19m17s,+76d59m
GRB160625B,20h33m04s,+06d54m
GRB160625A,11h47m45s,-65d07m
GRB160624A,22h00m49s,+29d38m
GRB160623A,21h00m58s,+42d16m
GRB160620A,16h42m39s,+30d19m
GRB160612A,23h13m27s,-25d22m
GRB160611A,10h57m45s,-70d24m
GRB160607A,00h54m39s,-04d57m
GRB160601A,15h40m08s,+64d30m
GRB160530A,19h18m43s,-35d38m
GRB160525B,09h57m46s,+51d11m
GRB160525A,06h54m07s,-00d10m
GRB160521B,09h52m41s,+79d01m
GRB160521A,08h38m52s,+46d54m
GRB160519A,04h44m27s,+31d12m
GRB160509A,20h40m24s,+76d00m
GRB160506A,17h43m06s,-46d07m
GRB160504A,11h20m10s,+56d00m
GRB160503A,00h02m10s,-01d56m
GRB160501A,19h05m30s,-17d14m
GRB160425A,18h41m15s,-54d22m
GRB160424A,21h17m55s,-60d24m
GRB160422A,02h48m12s,-57d54m
GRB160419A,01h05m42s,-27d21m
GRB160417A,08h00m58s,+07d38m
GRB160412A,02h12m26s,-67d39m
GRB160411A,23h17m27s,-40d16m
GRB160410A,10h02m43s,+03d27m
GRB160409A,19h18m49s,-05d23m
GRB160408A,08h10m14s,+71d08m
GRB160401A,05h58m57s,+26d41m
GRB160327A,09h46m45s,+54d01m
GRB160325A,01h02m23s,-72d42m
GRB160321A,06h37m39s,+05d43m
GRB160314B,11h10m14s,+45d40m
GRB160314A,07h31m07s,+17d00m
GRB160313A,12h15m09s,+57d18m
GRB160310A,06h35m07s,-07d07m
GRB160303A,11h14m44s,+22d44m
GRB160228A,07h09m17s,+26d57m
GRB160227A,12h59m09s,+78d38m
GRB160225A,10h56m58s,+53d39m
GRB160223B,06h19m54s,+33d24m
GRB160223A,09h50m20s,+09d22m
GRB160221A,15h28m19s,-28d27m
GRB160220B,17h19m25s,-18d07m
GRB160220A,15h47m42s,-18d33m
GRB160216A,20h46m49s,-71d33m
GRB160206A,08h50m47s,-36d06m
GRB160203A,10h47m48s,-24d46m
GRB160131A,05h12m44s,-07d04m
GRB160127A,15h03m49s,+00d05m
GRB160123A,10h01m09s,-33d47m
GRB160121A,07h16m19s,-23d35m
GRB160119A,14h07m34s,+20d28m
GRB160117B,08h48m46s,-16d20m
GRB160117A,01h21m31s,-00d38m
GRB160113A,11h34m29s,+10d42m
GRB160107A,19h58m40s,+06d25m
GRB160104A,05h07m13s,+11d21m
GRB160102A,05h23m21s,-21d02m
GRB160101A,14h38m55s,-13d49m
GRB151231A,04h38m07s,-61d01m
GRB151229A,21h57m31s,-20d44m
GRB151228B,22h57m46s,+08d05m
GRB151228A,14h16m01s,-17d41m
GRB151227B,19h21m08s,+35d25m
GRB151225A,15h11m36s,-18d18m
GRB151222A,23h39m46s,+34d06m
GRB151216A,21h35m39s,+24d46m
GRB151215A,06h14m23s,+35d31m
GRB151212A,04h32m26s,-03d46m
GRB151210A,04h20m44s,-71d14m
GRB151205C,21h58m54s,+77d42m
GRB151205B,02h44m38s,-43d29m
GRB151205A,15h17m08s,+35d46m
GRB151127A,01h19m07s,-82d46m
GRB151122A,19h58m49s,-19d54m
GRB151120A,10h28m58s,-32d31m
GRB151118A,03h48m38s,+65d52m
GRB151114A,08h03m45s,-61d03m
GRB151112A,00h08m11s,-61d42m
GRB151111A,03h47m19s,-44d10m
GRB151107B,01h59m00s,+44d30m
GRB151107A,14h28m33s,-59d41m
GRB151031A,05h32m48s,-39d05m
GRB151029A,02h34m08s,-35d22m
GRB151027B,05h04m57s,-06d26m
GRB151027A,18h09m58s,+61d23m
GRB151023A,18h04m05s,-08d19m
GRB151022A,23h16m51s,+55d49m
GRB151021A,22h30m27s,-33d12m
GRB151006A,09h49m48s,+70d31m
GRB151004A,14h14m20s,-64d57m
GRB151001B,22h27m23s,+64d40m
GRB151001A,15h34m55s,+15d35m
GRB150925A,15h10m05s,-19d38m
GRB150922A,19h37m31s,-05d29m
GRB150919A,08h51m50s,+44d04m
GRB150915A,21h18m55s,-34d51m
GRB150912A,16h33m44s,-20d59m
GRB150911A,04h29m42s,+05d45m
GRB150910A,00h22m42s,+33d30m
GRB150907B,17h00m53s,-63d49m
GRB150907A,14h59m22s,-47d36m
GRB150906B,10h36m57s,-25d36m
GRB150902A,14h19m42s,-69d22m
GRB150901A,12h14m21s,+25d02m
GRB150831B,18h04m05s,-27d15m
GRB150831A,14h44m05s,-25d39m
GRB150824A,10h45m00s,-55d55m
GRB150821A,22h47m37s,-57d52m
GRB150819B,03h57m33s,+39d42m
GRB150819A,02h49m21s,+09d47m
GRB150818A,15h21m47s,+68d21m
GRB150817A,16h38m34s,-12d04m
GRB150811B,12h25m23s,-14d07m
GRB150811A,19h25m29s,-15d27m
GRB150801B,05h31m50s,-05d23m
GRB150801A,17h03m42s,-09d26m
GRB150728A,19h29m09s,+33d54m
GRB150727A,13h35m58s,-18d21m
GRB150725A,14h41m41s,-02d25m
GRB150724B,23h27m41s,+03d40m
GRB150724A,06h30m09s,-19d09m
